transaction_id,date,leakage_type,amount_lost,region,product,detected_by,status,recovery_amount
TXN00035,2024-11-10,Unauthorized Discount,23544.19,East,Premium Pack,System Flag,Written Off,16015.06
TXN00036,2024-07-25,Contract Non-Compliance,25154.99,South,Premium Pack,Customer Complaint,In Progress,24064.13
TXN00037,2024-08-31,Billing Delay,1322.48,East,Bulk Pack,Manager Review,In Progress,684.09
TXN00038,2024-07-10,Billing Delay,12902.59,West,Economy Pack,Customer Complaint,Recovered,0.0
TXN00039,2024-05-31,Contract Non-Compliance,16494.26,North,Bulk Pack,Customer Complaint,Recovered,0.0
TXN00040,2024-11-16,Billing Delay,1189.73,South,Trial Pack,Manager Review,Recovered,1158.33
TXN00041,2024-02-03,Duplicate Invoice,46736.47,East,Premium Pack,Customer Complaint,In Progress,12265.9
TXN00042,2024-05-29,Unauthorized Discount,3971.68,Central,Trial Pack,System Flag,Recovered,3658.77
TXN00043,2024-01-25,Return Abuse,10564.37,West,Trial Pack,Audit,In Progress,7360.63
TXN00044,2024-02-24,Unauthorized Discount,3039.26,South,Standard Pack,System Flag,Written Off,609.87
TXN00045,2024-02-16,Pricing Error,27065.2,Central,Premium Pack,Manager Review,Recovered,84.56
TXN00046,2024-08-17,Unauthorized Discount,6996.22,Central,Trial Pack,System Flag,Written Off,3423.62
TXN00047,2024-04-18,Billing Delay,9751.84,Central,Premium Pack,System Flag,Written Off,6447.07
TXN00048,2024-02-17,Unauthorized Discount,23251.37,East,Standard Pack,Manager Review,Written Off,13431.6
TXN00049,2024-10-10,Contract Non-Compliance,7278.07,West,Bulk Pack,Audit,Recovered,6610.59
TXN00050,2024-01-23,Billing Delay,2953.57,Central,Premium Pack,System Flag,Written Off,860.4
TXN00051,2024-11-11,Contract Non-Compliance,17256.32,South,Standard Pack,Customer Complaint,In Progress,0.0
TXN00052,2024-09-22,Unauthorized Discount,1198.1,South,Premium Pack,Manager Review,Recovered,0.0
TXN00053,2024-12-21,Return Abuse,32133.24,North,Economy Pack,Manager Review,In Progress,14108.76
TXN00054,2024-07-16,Billing Delay,17409.71,North,Premium Pack,Audit,In Progress,6492.64
TXN00055,2024-02-23,Pricing Error,11068.18,Central,Bulk Pack,Customer Complaint,In Progress,2284.94
TXN00056,2024-04-07,Contract Non-Compliance,1236.85,West,Bulk Pack,System Flag,In Progress,38.76
TXN00057,2024-03-02,Return Abuse,30742.54,East,Bulk Pack,Audit,Recovered,0.0
TXN00058,2024-05-16,Duplicate Invoice,35509.64,West,Trial Pack,Customer Complaint,Recovered,29282.37
TXN00059,2024-07-27,Unauthorized Discount,34103.77,North,Premium Pack,System Flag,In Progress,0.0
TXN00060,2024-12-24,Billing Delay,524.51,North,Trial Pack,Customer Complaint,Written Off,149.29
TXN00061,2024-01-18,Unauthorized Discount,15049.75,Central,Economy Pack,Manager Review,In Progress,4471.11
TXN00062,2024-04-17,Pricing Error,28763.99,North,Standard Pack,Manager Review,Recovered,17871.13
TXN00063,2024-02-16,Missed Renewal,65991.7,North,Economy Pack,Customer Complaint,In Progress,37864.01
TXN00064,2024-11-17,Billing Delay,30816.62,West,Standard Pack,Manager Review,Written Off,10518.78
TXN00065,2024-07-30,Billing Delay,13172.25,Central,Bulk Pack,Audit,Recovered,8157.05
TXN00066,2024-07-18,Contract Non-Compliance,4997.05,Central,Trial Pack,Manager Review,Recovered,1314.98
TXN00067,2024-01-21,Return Abuse,12694.77,East,Economy Pack,Customer Complaint,Recovered,0.0
TXN00068,2024-03-15,Pricing Error,32732.66,East,Economy Pack,System Flag,Written Off,6446.41
TXN00069,2024-04-07,Billing Delay,8302.56,East,Economy Pack,Customer Complaint,Recovered,1386.34
TXN00070,2024-07-19,Pricing Error,614.64,West,Premium Pack,System Flag,Recovered,0.0
TXN00071,2024-05-09,Duplicate Invoice,10858.35,South,Bulk Pack,System Flag,Recovered,387.76
TXN00072,2024-09-03,Duplicate Invoice,42059.74,Central,Standard Pack,Manager Review,Written Off,0.0
TXN00073,2024-11-01,Missed Renewal,57403.97,East,Trial Pack,System Flag,In Progress,9342.44
TXN00074,2024-05-22,Billing Delay,16262.73,West,Bulk Pack,Customer Complaint,In Progress,11146.58
TXN00075,2024-01-03,Return Abuse,17896.17,East,Premium Pack,Audit,In Progress,2960.77
TXN00076,2024-09-26,Pricing Error,16013.76,South,Standard Pack,Audit,In Progress,5683.57
TXN00077,2024-02-22,Pricing Error,5278.66,South,Premium Pack,Audit,Recovered,0.0
TXN00078,2024-10-17,Pricing Error,493.56,West,Standard Pack,Manager Review,Recovered,0.0
TXN00079,2024-08-29,Pricing Error,25145.51,West,Bulk Pack,Customer Complaint,In Progress,22356.24
TXN00080,2024-10-16,Missed Renewal,18837.66,North,Bulk Pack,Manager Review,Recovered,15013.14
TXN00081,2024-03-14,Billing Delay,6750.95,East,Premium Pack,Audit,In Progress,5875.13
TXN00082,2024-03-10,Return Abuse,5720.86,Central,Standard Pack,Customer Complaint,In Progress,4591.74
TXN00083,2024-05-19,Unauthorized Discount,26815.15,South,Economy Pack,Customer Complaint,In Progress,582.98
TXN00084,2024-08-08,Contract Non-Compliance,10693.2,Central,Bulk Pack,Customer Complaint,In Progress,2301.91
TXN00085,2024-12-18,Pricing Error,4337.25,South,Premium Pack,Customer Complaint,Recovered,0.0
TXN00086,2024-10-28,Contract Non-Compliance,10127.6,Central,Premium Pack,System Flag,In Progress,5738.31
TXN00087,2024-05-05,Pricing Error,13373.15,South,Economy Pack,Audit,In Progress,321.46
TXN00088,2024-01-11,Missed Renewal,4069.35,Central,Standard Pack,Manager Review,In Progress,0.0
TXN00089,2024-03-02,Unauthorized Discount,12668.21,Central,Bulk Pack,Audit,In Progress,0.0
TXN00090,2024-10-19,Duplicate Invoice,9179.43,Central,Bulk Pack,Audit,In Progress,945.82
TXN00091,2024-11-19,Unauthorized Discount,11299.01,East,Bulk Pack,Manager Review,Recovered,1012.78
TXN00092,2024-03-27,Contract Non-Compliance,15539.03,West,Premium Pack,Audit,Written Off,9809.36
TXN00093,2024-04-01,Unauthorized Discount,1198.82,East,Bulk Pack,Customer Complaint,Recovered,870.97
TXN00094,2024-08-05,Billing Delay,14941.67,North,Economy Pack,Customer Complaint,Recovered,13479.14
TXN00095,2024-04-03,Unauthorized Discount,11769.95,Central,Trial Pack,System Flag,Written Off,0.0
TXN00096,2024-10-06,Return Abuse,18313.96,East,Bulk Pack,Customer Complaint,Written Off,0.0
TXN00097,2024-07-09,Unauthorized Discount,946.97,Central,Premium Pack,Customer Complaint,In Progress,196.32
TXN00098,2024-12-26,Unauthorized Discount,772.81,West,Bulk Pack,Customer Complaint,Recovered,700.39
TXN00099,2024-06-25,Pricing Error,554.21,West,Economy Pack,System Flag,In Progress,316.51
TXN00100,2024-03-31,Unauthorized Discount,26716.33,North,Standard Pack,Audit,In Progress,18621.08
TXN00101,2024-05-26,Missed Renewal,14804.44,South,Economy Pack,Manager Review,Written Off,0.0
TXN00102,2024-11-22,Unauthorized Discount,4084.86,Central,Trial Pack,System Flag,In Progress,0.0
TXN00103,2024-05-26,Return Abuse,26800.39,West,Bulk Pack,Manager Review,Recovered,17206.21
TXN00104,2024-02-26,Missed Renewal,12.81,Central,Premium Pack,Manager Review,Recovered,0.0
TXN00105,2024-03-09,Pricing Error,7787.83,South,Bulk Pack,System Flag,Written Off,0.0
TXN00106,2024-04-23,Contract Non-Compliance,19308.57,East,Premium Pack,System Flag,In Progress,7366.05
TXN00107,2024-09-13,Billing Delay,26801.97,West,Economy Pack,Manager Review,Recovered,3855.89
TXN00108,2024-01-31,Duplicate Invoice,14279.09,North,Standard Pack,Customer Complaint,Written Off,438.76
TXN00109,2024-04-15,Contract Non-Compliance,24001.6,Central,Economy Pack,Audit,Written Off,2185.74
TXN00110,2024-09-28,Billing Delay,3646.58,South,Standard Pack,Audit,Recovered,2830.22
TXN00111,2024-01-30,Unauthorized Discount,3831.01,East,Trial Pack,Customer Complaint,Written Off,2321.93
TXN00112,2024-09-11,Contract Non-Compliance,1524.92,South,Economy Pack,Audit,Recovered,0.0
TXN00113,2024-09-20,Billing Delay,7230.12,West,Bulk Pack,System Flag,Recovered,6045.36
TXN00114,2024-05-30,Return Abuse,15247.45,West,Economy Pack,Customer Complaint,Recovered,0.0
TXN00115,2024-04-13,Duplicate Invoice,11109.63,East,Bulk Pack,Manager Review,Written Off,2752.26
TXN00116,2024-10-24,Billing Delay,8589.7,West,Bulk Pack,System Flag,In Progress,0.0
TXN00117,2024-12-05,Unauthorized Discount,19024.76,South,Standard Pack,System Flag,In Progress,8499.9
TXN00118,2024-11-03,Contract Non-Compliance,14092.43,North,Trial Pack,Audit,In Progress,11521.73
TXN00119,2024-07-27,Unauthorized Discount,19401.12,East,Economy Pack,System Flag,Written Off,5730.53
TXN00120,2024-02-07,Unauthorized Discount,13157.44,South,Bulk Pack,Audit,In Progress,10225.34
TXN00121,2024-03-29,Contract Non-Compliance,2381.77,Central,Economy Pack,Manager Review,In Progress,345.46
TXN00122,2024-04-07,Contract Non-Compliance,24462.51,East,Standard Pack,Customer Complaint,In Progress,6595.98
TXN00123,2024-01-23,Pricing Error,35329.33,Central,Premium Pack,Manager Review,Recovered,0.0
TXN00124,2024-05-06,Billing Delay,14431.23,South,Bulk Pack,Audit,In Progress,3093.01
TXN00125,2024-10-26,Unauthorized Discount,12587.19,West,Standard Pack,Audit,In Progress,8078.81
TXN00126,2024-04-08,Unauthorized Discount,7492.77,East,Premium Pack,Audit,In Progress,0.0
TXN00127,2024-08-09,Unauthorized Discount,2258.45,Central,Standard Pack,Audit,Written Off,0.0
TXN00128,2024-10-16,Billing Delay,4287.54,West,Standard Pack,System Flag,Recovered,3527.43
TXN00129,2024-10-04,Contract Non-Compliance,50584.3,West,Premium Pack,System Flag,Recovered,0.0
TXN00130,2024-06-11,Billing Delay,9693.47,North,Economy Pack,System Flag,Recovered,2279.47
TXN00131,2024-07-14,Return Abuse,7864.09,East,Bulk Pack,System Flag,In Progress,2985.16
TXN00132,2024-05-05,Return Abuse,1020.6,North,Trial Pack,System Flag,In Progress,790.68
TXN00133,2024-12-13,Unauthorized Discount,14291.69,East,Economy Pack,Manager Review,Recovered,5414.87
TXN00134,2024-05-26,Contract Non-Compliance,7581.15,West,Standard Pack,System Flag,Recovered,4763.19
TXN00135,2024-05-19,Missed Renewal,6958.96,South,Premium Pack,Audit,Written Off,0.0
TXN00136,2024-04-07,Return Abuse,11872.53,South,Economy Pack,Manager Review,Recovered,0.0
TXN00137,2024-04-05,Billing Delay,8666.45,South,Bulk Pack,Audit,In Progress,4634.3
TXN00138,2024-03-22,Return Abuse,17384.79,Central,Trial Pack,Customer Complaint,In Progress,7290.08
TXN00139,2024-06-16,Return Abuse,11734.73,Central,Trial Pack,System Flag,Recovered,2301.66
TXN00140,2024-11-11,Contract Non-Compliance,6684.38,West,Economy Pack,Customer Complaint,Recovered,0.0
TXN00141,2024-08-17,Unauthorized Discount,61587.5,South,Trial Pack,Manager Review,Recovered,0.0
TXN00142,2024-11-23,Unauthorized Discount,5593.39,East,Premium Pack,Manager Review,In Progress,1859.13
TXN00143,2024-02-03,Unauthorized Discount,83876.51,North,Premium Pack,Audit,Written Off,35949.69
TXN00144,2024-11-03,Pricing Error,2250.24,West,Economy Pack,Manager Review,In Progress,0.0
TXN00145,2024-09-11,Contract Non-Compliance,15114.34,North,Standard Pack,System Flag,Written Off,12390.63
TXN00146,2024-07-03,Billing Delay,17173.11,North,Standard Pack,System Flag,Written Off,11922.12
TXN00147,2024-01-29,Pricing Error,11818.83,Central,Economy Pack,Audit,Recovered,11124.14
TXN00148,2024-12-10,Contract Non-Compliance,12355.87,South,Bulk Pack,System Flag,Recovered,5065.66
TXN00149,2024-12-19,Missed Renewal,35597.07,West,Premium Pack,Audit,Written Off,25356.74
TXN00150,2024-12-05,Duplicate Invoice,2233.96,North,Trial Pack,Customer Complaint,In Progress,2118.61
TXN00151,2024-08-27,Contract Non-Compliance,75501.32,North,Trial Pack,Audit,Recovered,53903.62
TXN00152,2024-08-06,Contract Non-Compliance,7956.52,South,Trial Pack,System Flag,Recovered,0.0
TXN00153,2024-09-23,Unauthorized Discount,2507.85,North,Premium Pack,System Flag,In Progress,2408.01
TXN00154,2024-10-06,Contract Non-Compliance,2449.4,East,Premium Pack,System Flag,Written Off,99.62
TXN00155,2024-10-06,Missed Renewal,13058.39,East,Standard Pack,Customer Complaint,In Progress,0.0
TXN00156,2024-09-22,Pricing Error,1042.79,East,Standard Pack,Audit,Written Off,522.61
TXN00157,2024-05-22,Unauthorized Discount,4624.89,East,Premium Pack,System Flag,Written Off,2585.36
TXN00158,2024-09-29,Return Abuse,3907.21,North,Bulk Pack,Customer Complaint,Recovered,0.0
TXN00159,2024-01-16,Return Abuse,25226.48,North,Trial Pack,System Flag,Written Off,4268.72
TXN00160,2024-11-27,Billing Delay,9104.59,East,Economy Pack,Audit,Recovered,5279.7
TXN00161,2024-08-28,Contract Non-Compliance,273.48,East,Standard Pack,Customer Complaint,Recovered,227.11
TXN00162,2024-03-17,Billing Delay,44667.53,North,Bulk Pack,Customer Complaint,In Progress,21626.42
TXN00163,2024-03-24,Unauthorized Discount,2776.91,North,Trial Pack,Audit,In Progress,1684.94
TXN00164,2024-09-30,Contract Non-Compliance,1427.45,South,Economy Pack,System Flag,In Progress,0.0
TXN00165,2024-10-27,Unauthorized Discount,2326.6,West,Bulk Pack,Manager Review,Recovered,0.0
TXN00166,2024-01-07,Return Abuse,4969.46,North,Premium Pack,Customer Complaint,In Progress,726.66
TXN00167,2024-06-14,Unauthorized Discount,660.55,East,Premium Pack,Audit,Recovered,0.0
TXN00168,2024-06-01,Pricing Error,10583.46,West,Premium Pack,System Flag,In Progress,5444.62
TXN00169,2024-10-13,Billing Delay,31439.29,East,Economy Pack,System Flag,In Progress,18546.77
TXN00170,2024-01-29,Missed Renewal,9625.46,South,Standard Pack,Manager Review,Written Off,0.0
TXN00171,2024-07-10,Billing Delay,10688.07,Central,Standard Pack,Customer Complaint,Recovered,0.0
TXN00172,2024-01-29,Duplicate Invoice,24839.01,East,Premium Pack,Audit,In Progress,24807.3
TXN00173,2024-08-19,Return Abuse,1783.67,East,Economy Pack,Customer Complaint,In Progress,1381.56
TXN00174,2024-01-01,Pricing Error,3283.29,East,Standard Pack,System Flag,In Progress,798.76
TXN00175,2024-02-05,Unauthorized Discount,5932.98,South,Standard Pack,Customer Complaint,Recovered,0.0
TXN00176,2024-02-29,Pricing Error,27355.97,West,Premium Pack,Audit,Recovered,25463.95
TXN00177,2024-02-22,Contract Non-Compliance,2983.71,West,Bulk Pack,Customer Complaint,Recovered,1963.56
TXN00178,2024-05-13,Return Abuse,17899.56,East,Premium Pack,Audit,Recovered,0.0
TXN00179,2024-11-22,Billing Delay,19321.51,West,Bulk Pack,Customer Complaint,Recovered,0.0
TXN00180,2024-06-29,Unauthorized Discount,19357.7,West,Standard Pack,Audit,Written Off,2318.63
TXN00181,2024-09-24,Return Abuse,12534.48,West,Economy Pack,Audit,In Progress,6171.92
TXN00182,2024-03-01,Unauthorized Discount,3070.51,North,Economy Pack,System Flag,Recovered,2202.56
TXN00183,2024-01-25,Pricing Error,12567.04,Central,Bulk Pack,System Flag,In Progress,221.39
TXN00184,2024-08-19,Billing Delay,4163.95,Central,Bulk Pack,System Flag,Recovered,0.0
TXN00185,2024-05-26,Pricing Error,8919.6,South,Economy Pack,System Flag,In Progress,2841.46
TXN00186,2024-05-06,Unauthorized Discount,47370.43,South,Trial Pack,Audit,In Progress,9867.15
TXN00187,2024-09-24,Duplicate Invoice,25198.83,Central,Premium Pack,Audit,In Progress,10287.47
TXN00188,2024-09-05,Unauthorized Discount,25502.45,West,Standard Pack,Manager Review,Recovered,0.0
TXN00189,2024-04-06,Pricing Error,35304.99,East,Bulk Pack,Customer Complaint,Recovered,12906.56
TXN00190,2024-05-21,Unauthorized Discount,3996.01,North,Trial Pack,Customer Complaint,Written Off,0.0
TXN00191,2024-07-28,Contract Non-Compliance,86288.78,East,Bulk Pack,Customer Complaint,Recovered,661.9
TXN00192,2024-03-28,Duplicate Invoice,14875.61,South,Standard Pack,Audit,Recovered,0.0
TXN00193,2024-03-04,Contract Non-Compliance,2596.16,South,Standard Pack,Manager Review,Written Off,233.95
TXN00194,2024-07-22,Return Abuse,960.8,Central,Trial Pack,Manager Review,In Progress,0.0
TXN00195,2024-03-16,Pricing Error,47370.79,East,Economy Pack,System Flag,Recovered,13233.33
TXN00196,2024-07-19,Pricing Error,2542.92,North,Economy Pack,System Flag,In Progress,1938.13
TXN00197,2024-07-16,Duplicate Invoice,22406.71,North,Bulk Pack,Customer Complaint,In Progress,0.0
TXN00198,2024-08-03,Contract Non-Compliance,42658.91,Central,Standard Pack,System Flag,In Progress,39409.77
TXN00199,2024-11-25,Contract Non-Compliance,14313.73,South,Trial Pack,Manager Review,Recovered,12626.25
TXN00200,2024-10-03,Pricing Error,1902.3,West,Trial Pack,System Flag,Recovered,562.65
TXN00201,2024-06-16,Unauthorized Discount,24812.0,East,Premium Pack,Manager Review,In Progress,0.0
TXN00202,2024-12-20,Unauthorized Discount,22848.51,North,Trial Pack,System Flag,Written Off,0.0
TXN00203,2024-12-27,Unauthorized Discount,11248.06,East,Premium Pack,Customer Complaint,In Progress,0.0
TXN00204,2024-03-24,Missed Renewal,31683.43,Central,Economy Pack,System Flag,Written Off,11779.93
TXN00205,2024-05-26,Unauthorized Discount,7838.69,South,Standard Pack,Customer Complaint,In Progress,3356.02
TXN00206,2024-07-12,Billing Delay,12660.87,West,Bulk Pack,Audit,Recovered,4054.75
TXN00207,2024-03-27,Pricing Error,4747.87,North,Premium Pack,Customer Complaint,In Progress,0.0
TXN00208,2024-04-27,Pricing Error,4554.13,South,Economy Pack,Manager Review,In Progress,504.31
TXN00209,2024-03-21,Billing Delay,11618.29,North,Premium Pack,Manager Review,In Progress,0.0
TXN00210,2024-02-19,Pricing Error,1266.08,West,Economy Pack,System Flag,Recovered,171.57
TXN00211,2024-10-14,Duplicate Invoice,18496.06,North,Economy Pack,Manager Review,In Progress,0.0
TXN00212,2024-04-07,Billing Delay,14587.21,South,Bulk Pack,Customer Complaint,In Progress,10585.82
TXN00213,2024-05-06,Contract Non-Compliance,18920.05,Central,Trial Pack,System Flag,Recovered,5150.39
TXN00214,2024-03-03,Pricing Error,16346.06,Central,Bulk Pack,System Flag,Written Off,13460.22
TXN00215,2024-09-06,Missed Renewal,5255.45,South,Economy Pack,Manager Review,Recovered,1601.53
TXN00216,2024-05-18,Billing Delay,40253.51,East,Economy Pack,System Flag,In Progress,23290.62
TXN00217,2024-09-08,Unauthorized Discount,7866.9,West,Trial Pack,System Flag,In Progress,282.65
TXN00218,2024-03-05,Return Abuse,6668.04,South,Economy Pack,System Flag,Recovered,6626.13
TXN00219,2024-03-24,Pricing Error,40856.87,South,Bulk Pack,Customer Complaint,Recovered,0.0
TXN00220,2024-04-02,Contract Non-Compliance,17299.31,West,Premium Pack,System Flag,Written Off,0.0
TXN00221,2024-02-09,Duplicate Invoice,18872.19,East,Bulk Pack,Audit,Written Off,14984.43
TXN00222,2024-10-04,Missed Renewal,30469.31,South,Bulk Pack,Audit,Written Off,1941.61
TXN00223,2024-01-27,Contract Non-Compliance,7039.28,North,Bulk Pack,Customer Complaint,In Progress,0.0
TXN00224,2024-12-18,Unauthorized Discount,6988.42,Central,Bulk Pack,Audit,Written Off,0.0
TXN00225,2024-07-19,Contract Non-Compliance,542.23,North,Trial Pack,Manager Review,Recovered,149.32
TXN00226,2024-11-01,Pricing Error,639.3,South,Bulk Pack,Customer Complaint,Written Off,398.13
TXN00227,2024-03-27,Pricing Error,10580.54,East,Standard Pack,System Flag,Recovered,0.0
TXN00228,2024-09-18,Unauthorized Discount,29306.89,Central,Premium Pack,Customer Complaint,In Progress,2301.13
TXN00229,2024-08-17,Unauthorized Discount,10926.74,Central,Bulk Pack,Audit,In Progress,0.0
TXN00230,2024-08-19,Return Abuse,19701.68,Central,Premium Pack,System Flag,Recovered,0.0
TXN00231,2024-08-19,Unauthorized Discount,33937.37,West,Trial Pack,Audit,In Progress,0.0
TXN00232,2024-06-21,Unauthorized Discount,19173.21,South,Economy Pack,System Flag,In Progress,0.0
TXN00233,2024-03-09,Unauthorized Discount,2730.6,North,Premium Pack,Audit,Written Off,0.0
TXN00234,2024-01-13,Return Abuse,16668.98,Central,Standard Pack,Customer Complaint,In Progress,13532.06
TXN00235,2024-03-17,Contract Non-Compliance,3399.17,North,Premium Pack,Manager Review,Recovered,0.0
TXN00236,2024-09-04,Contract Non-Compliance,8422.76,East,Premium Pack,System Flag,Written Off,6691.27
TXN00237,2024-08-06,Pricing Error,3507.12,Central,Premium Pack,Audit,Written Off,0.0
TXN00238,2024-02-08,Pricing Error,9363.63,North,Economy Pack,System Flag,In Progress,0.0
TXN00239,2024-02-20,Billing Delay,8943.86,South,Trial Pack,Manager Review,Recovered,5568.25
TXN00240,2024-10-17,Return Abuse,6767.22,North,Trial Pack,Customer Complaint,Recovered,0.0
TXN00241,2024-02-19,Billing Delay,24108.41,East,Trial Pack,Manager Review,In Progress,0.0
TXN00242,2024-11-05,Pricing Error,6357.66,East,Bulk Pack,Customer Complaint,Written Off,0.0
TXN00243,2024-07-31,Unauthorized Discount,3523.46,North,Bulk Pack,Audit,Recovered,1284.08
TXN00244,2024-02-17,Contract Non-Compliance,20268.88,West,Economy Pack,Customer Complaint,Recovered,0.0
TXN00245,2024-09-16,Pricing Error,2397.66,Central,Premium Pack,Manager Review,Recovered,0.0
TXN00246,2024-01-02,Unauthorized Discount,16169.11,West,Economy Pack,Manager Review,Recovered,0.0
TXN00247,2024-01-09,Missed Renewal,19248.17,South,Trial Pack,System Flag,Recovered,5337.4
TXN00248,2024-09-21,Billing Delay,12311.7,Central,Trial Pack,System Flag,Recovered,5233.74
TXN00249,2024-06-08,Billing Delay,10831.05,South,Trial Pack,Manager Review,In Progress,0.0
TXN00250,2024-09-17,Return Abuse,3709.23,East,Premium Pack,Manager Review,Recovered,0.0
TXN00251,2024-04-19,Billing Delay,45130.37,Central,Economy Pack,System Flag,Written Off,0.0
TXN00252,2024-03-07,Unauthorized Discount,25791.45,North,Trial Pack,Audit,Recovered,5740.79
TXN00253,2024-08-03,Contract Non-Compliance,26988.28,West,Economy Pack,Customer Complaint,In Progress,1599.01
TXN00254,2024-05-29,Contract Non-Compliance,6522.25,North,Standard Pack,System Flag,Written Off,0.0
TXN00255,2024-08-01,Billing Delay,5316.62,South,Bulk Pack,Customer Complaint,Written Off,1725.79
TXN00256,2024-08-12,Pricing Error,102784.27,East,Trial Pack,System Flag,Written Off,16472.89
TXN00257,2024-10-11,Unauthorized Discount,5503.49,West,Bulk Pack,Audit,In Progress,945.59
TXN00258,2024-11-15,Contract Non-Compliance,6784.41,East,Standard Pack,Manager Review,Recovered,2635.12
TXN00259,2024-02-14,Billing Delay,25003.57,North,Economy Pack,Customer Complaint,Written Off,0.0
TXN00260,2024-11-29,Unauthorized Discount,23942.23,South,Economy Pack,Audit,Recovered,10443.81
TXN00261,2024-10-08,Pricing Error,14823.13,Central,Premium Pack,Audit,In Progress,0.0
TXN00262,2024-02-09,Billing Delay,6671.42,North,Trial Pack,Audit,Written Off,0.0
TXN00263,2024-10-07,Billing Delay,2499.62,North,Bulk Pack,System Flag,In Progress,0.0
TXN00264,2024-08-26,Missed Renewal,3711.54,West,Bulk Pack,Audit,Recovered,1923.07
TXN00265,2024-07-13,Contract Non-Compliance,7130.76,Central,Economy Pack,Audit,In Progress,3740.22
TXN00266,2024-02-23,Pricing Error,47080.22,West,Economy Pack,Customer Complaint,Recovered,0.0
TXN00267,2024-08-31,Return Abuse,144.12,North,Bulk Pack,Manager Review,Recovered,82.36
TXN00268,2024-04-08,Unauthorized Discount,6977.15,West,Standard Pack,Customer Complaint,Recovered,0.0
TXN00269,2024-08-04,Missed Renewal,30199.05,West,Premium Pack,Audit,In Progress,6561.61
TXN00270,2024-12-30,Contract Non-Compliance,17403.21,East,Trial Pack,Audit,Recovered,0.0
TXN00271,2024-08-07,Billing Delay,6163.09,West,Premium Pack,Audit,In Progress,1008.84
TXN00272,2024-04-12,Unauthorized Discount,1328.46,North,Standard Pack,Customer Complaint,Written Off,1119.76
