month,region,product,sales_rep,quantity,unit_price,revenue,target,returns,discount_pct
2024-08,East,Standard Pack,REP010,21,3135.15,65838.16,99000,1211.47,1.81
2023-02,East,Trial Pack,REP011,44,785.85,34577.3,38400,872.15,8.09
2024-10,North,Trial Pack,REP018,37,892.63,33027.48,40800,2316.32,6.26
2023-03,South,Standard Pack,REP013,17,2895.57,49224.65,144000,37.35,0.79
2024-05,Central,Trial Pack,REP012,61,819.38,49982.29,15200,366.67,5.05
2024-08,Central,Premium Pack,REP017,7,4950.97,34656.76,195000,2364.48,10.73
2023-05,North,Premium Pack,REP014,83,4891.66,406007.76,290000,12720.39,1.87
2023-05,Central,Trial Pack,REP011,74,915.76,67766.19,57600,5121.67,7.01
2024-01,South,Premium Pack,REP007,56,4347.48,243458.86,145000,16318.09,3.46
2024-07,Central,Standard Pack,REP011,61,2748.44,167654.69,36000,11081.38,12.01
2024-10,North,Premium Pack,REP003,24,5742.36,137816.68,350000,2869.16,7.73
2024-06,North,Economy Pack,REP003,17,1375.72,23387.2,115500,1085.33,1.37
2023-09,East,Economy Pack,REP009,71,1705.04,121058.07,76500,7839.88,9.83
2023-05,East,Economy Pack,REP002,92,1388.69,127759.67,70500,2654.88,10.85
2024-06,Central,Bulk Pack,REP016,81,8946.75,724686.9,392000,51186.45,7.74
2024-07,South,Economy Pack,REP008,44,1529.58,67301.49,63000,4730.65,11.96
2023-08,West,Premium Pack,REP016,45,4751.01,213795.6,270000,11929.31,10.2
2023-06,West,Trial Pack,REP011,49,889.24,43572.88,32000,2878.66,1.93
2023-11,Central,Standard Pack,REP004,6,3298.92,19793.52,63000,10.11,4.31
2024-02,East,Premium Pack,REP009,21,4423.77,92899.08,345000,67.43,12.28
2024-04,East,Standard Pack,REP009,67,2902.94,194496.72,138000,1595.02,14.06
2023-04,South,Bulk Pack,REP017,16,6961.64,111386.26,152000,4219.97,0.87
2024-12,East,Standard Pack,REP018,18,3426.14,61670.52,114000,2200.2,9.71
2024-08,Central,Bulk Pack,REP007,33,6853.1,226152.19,120000,6727.28,12.28
2023-11,South,Standard Pack,REP002,50,2971.69,148584.27,39000,5065.91,6.77
2023-07,Central,Trial Pack,REP011,36,699.77,25191.77,24800,264.69,13.02
2023-12,West,Trial Pack,REP015,84,885.77,74404.38,12000,4524.35,6.63
2023-01,South,Bulk Pack,REP006,19,8590.01,163210.17,352000,406.51,9.78
2023-12,South,Bulk Pack,REP016,31,9123.66,282833.59,440000,4609.08,1.37
2023-08,East,Standard Pack,REP020,75,3113.6,233519.87,219000,5495.53,13.68
2023-03,West,Premium Pack,REP014,75,4437.78,332833.4,90000,5339.31,7.37
2024-10,Central,Trial Pack,REP002,92,783.98,72126.09,58400,2626.66,0.17
2024-06,South,Economy Pack,REP013,93,1662.06,154571.12,75000,489.91,7.21
2024-12,North,Premium Pack,REP012,50,4463.74,223187.17,315000,11037.15,10.54
2023-10,South,Bulk Pack,REP001,6,8082.18,48493.09,312000,128.81,1.18
2024-10,South,Standard Pack,REP014,19,2730.14,51872.57,159000,433.94,9.55
2023-03,East,Premium Pack,REP006,77,4327.96,333252.68,205000,7967.03,14.03
2023-08,South,Bulk Pack,REP020,66,8269.42,545781.66,128000,28853.08,8.3
2023-06,South,Standard Pack,REP003,45,2697.6,121391.98,69000,792.74,0.91
2024-11,West,Trial Pack,REP013,23,914.21,21026.78,43200,306.35,11.85
2024-11,East,Bulk Pack,REP018,74,8526.08,630930.24,248000,16773.39,8.14
2023-03,West,Standard Pack,REP019,39,2748.51,107191.7,189000,262.86,3.87
2023-12,North,Trial Pack,REP020,41,763.02,31284.0,23200,1263.49,8.15
2024-07,North,Bulk Pack,REP002,70,8234.54,576417.56,360000,19446.99,4.15
2024-07,South,Trial Pack,REP012,7,829.51,5806.58,39200,388.34,3.54
2023-08,West,Standard Pack,REP012,18,3424.26,61636.6,138000,4212.91,7.38
2024-10,West,Trial Pack,REP015,18,803.56,14464.01,8800,110.23,9.78
2023-02,East,Trial Pack,REP005,69,865.63,59728.71,52000,1895.36,3.56
2023-11,South,Economy Pack,REP014,84,1508.9,126747.46,28500,6787.48,2.19
2023-05,West,Economy Pack,REP012,5,1388.64,6943.19,55500,20.37,11.05
2023-05,West,Trial Pack,REP017,48,787.13,37782.17,12000,622.17,1.68
2024-06,South,Premium Pack,REP005,24,4327.55,103861.09,50000,1014.6,6.78
2024-09,East,Trial Pack,REP001,55,689.98,37948.76,23200,2995.31,14.48
2023-11,South,Premium Pack,REP018,33,5551.88,183211.96,325000,7557.07,7.33
2023-12,West,Trial Pack,REP020,84,905.56,76066.77,13600,5902.25,1.41
2023-08,Central,Trial Pack,REP015,90,741.27,66714.62,59200,4473.16,14.17
2023-10,South,Standard Pack,REP017,30,3332.01,99960.43,165000,7346.51,9.01
2024-04,Central,Trial Pack,REP009,94,763.66,71783.82,60000,5739.34,0.72
2023-09,North,Premium Pack,REP016,17,5423.58,92200.83,200000,5446.85,13.18
2023-06,West,Economy Pack,REP006,86,1670.05,143624.39,48000,5004.83,12.27
2024-12,North,Trial Pack,REP015,69,767.95,52988.6,19200,2948.15,5.83
2023-01,North,Premium Pack,REP003,48,4272.0,205056.03,100000,9899.26,10.02
2023-10,South,Premium Pack,REP003,89,5545.0,493505.04,285000,33446.51,13.71
2023-12,Central,Standard Pack,REP016,41,2771.46,113629.97,72000,3584.94,8.24
2024-02,South,Bulk Pack,REP011,25,7269.87,181746.68,448000,1036.4,14.32
2023-04,East,Economy Pack,REP015,72,1695.5,122075.73,42000,990.48,7.29
2024-04,Central,Bulk Pack,REP014,31,9031.05,279962.68,296000,12075.6,4.67
2023-04,South,Standard Pack,REP017,81,2922.19,236697.73,48000,12897.52,2.72
2024-01,North,Standard Pack,REP010,60,3416.63,204998.05,231000,1427.43,12.24
2023-12,Central,Standard Pack,REP015,17,3091.45,52554.66,90000,3717.53,3.42
2023-09,South,Standard Pack,REP010,76,3242.95,246464.22,174000,4670.41,11.71
2024-06,East,Bulk Pack,REP007,78,8742.87,681944.01,224000,34034.97,6.78
2024-06,Central,Premium Pack,REP003,37,4575.11,169279.06,155000,320.12,9.63
2023-07,East,Standard Pack,REP009,82,3118.81,255742.74,198000,10163.56,14.82
2023-03,Central,Standard Pack,REP003,46,2935.38,135027.46,144000,7826.37,0.24
2024-12,West,Economy Pack,REP004,94,1426.75,134114.71,61500,2941.52,1.19
2023-08,Central,Premium Pack,REP004,7,4851.78,33962.47,395000,964.52,1.04
2024-05,West,Standard Pack,REP005,48,2760.34,132496.36,90000,2874.08,8.89
2023-03,West,Trial Pack,REP003,90,840.68,75660.92,42400,4006.03,8.37
2023-02,West,Bulk Pack,REP004,73,7220.73,527113.08,320000,31830.79,2.56
2023-10,North,Bulk Pack,REP017,20,8395.79,167915.76,96000,12455.02,3.52
2024-07,Central,Bulk Pack,REP008,69,8820.88,608640.71,240000,4524.84,3.86
2023-08,North,Trial Pack,REP016,80,867.69,69414.94,18400,653.33,3.41
2024-01,South,Premium Pack,REP002,95,4608.58,437815.38,370000,10701.06,5.95
2024-11,South,Bulk Pack,REP018,59,7188.23,424105.81,248000,16861.21,14.88
2023-05,West,Standard Pack,REP012,53,2654.73,140700.68,162000,4284.32,13.17
2024-02,East,Bulk Pack,REP014,77,7574.07,583203.17,352000,8096.0,10.42
2024-06,West,Standard Pack,REP010,29,3067.65,88961.76,189000,2232.78,9.1
2023-01,Central,Bulk Pack,REP003,45,8780.48,395121.68,176000,11617.67,1.02
2023-02,West,Premium Pack,REP015,72,4369.95,314636.26,105000,24310.61,6.49
2024-01,West,Standard Pack,REP006,36,2744.43,98799.64,33000,5139.17,2.28
2024-07,Central,Economy Pack,REP002,14,1370.29,19184.06,30000,1157.57,9.29
2024-03,North,Economy Pack,REP009,25,1329.62,33240.58,106500,705.73,2.67
2024-04,West,Premium Pack,REP004,8,5745.05,45960.36,130000,855.4,3.31
2024-08,West,Bulk Pack,REP006,54,7113.7,384140.06,576000,13822.42,2.92
2023-07,East,Bulk Pack,REP014,75,8560.67,642050.59,112000,566.61,6.24
2024-09,Central,Standard Pack,REP007,9,2743.68,24693.14,186000,1583.4,14.39
2023-04,North,Economy Pack,REP017,64,1565.74,100207.4,45000,6768.87,1.47
2023-04,South,Bulk Pack,REP016,86,7942.44,683050.14,488000,46970.09,5.89
2023-10,Central,Premium Pack,REP009,68,5430.36,369264.15,90000,27852.3,12.13
2024-04,Central,Premium Pack,REP010,62,4629.59,287034.43,150000,18947.31,7.43
2023-08,East,Premium Pack,REP015,21,4349.98,91349.54,270000,1097.43,11.06
2023-01,Central,Trial Pack,REP008,91,851.92,77524.5,48000,441.93,0.18
2023-05,West,Trial Pack,REP008,62,790.87,49033.77,16000,3807.96,14.13
2024-07,West,Economy Pack,REP011,62,1319.28,81795.24,25500,1734.36,0.31
2024-04,West,Premium Pack,REP008,29,5713.99,165705.6,295000,138.23,3.83
2023-04,North,Premium Pack,REP018,14,5448.07,76273.0,105000,2894.32,1.71
2024-01,Central,Bulk Pack,REP002,15,6904.97,103574.48,208000,7690.06,3.37
2023-08,East,Bulk Pack,REP018,26,7457.1,193884.58,424000,3062.92,13.3
2024-12,Central,Economy Pack,REP007,16,1688.52,27016.27,40500,1374.74,3.32
2023-08,West,Economy Pack,REP011,93,1696.82,157804.69,57000,9189.88,1.62
2024-09,West,Economy Pack,REP018,99,1494.78,147982.96,48000,9952.78,10.99
2023-11,Central,Trial Pack,REP001,60,826.87,49611.94,22400,601.57,1.41
2023-12,North,Trial Pack,REP015,12,790.77,9489.29,20000,616.24,11.13
2023-03,North,Bulk Pack,REP008,68,8720.17,592971.58,152000,35215.3,12.23
2023-02,North,Trial Pack,REP009,40,681.26,27250.2,53600,76.98,11.19
2024-02,North,Standard Pack,REP020,79,3230.64,255220.42,237000,17899.13,14.95
2023-04,Central,Bulk Pack,REP020,14,8926.87,124976.18,280000,3914.51,6.19
2023-08,Central,Standard Pack,REP006,50,2869.94,143497.19,198000,4450.41,6.03
2023-07,West,Trial Pack,REP014,7,695.56,4868.95,53600,218.71,8.41
2024-12,South,Standard Pack,REP019,35,2570.64,89972.38,84000,3586.34,1.16
2024-10,Central,Bulk Pack,REP006,35,8780.31,307310.98,224000,10822.24,2.21
2024-11,North,Premium Pack,REP018,67,4580.92,306921.5,280000,24513.15,14.0
2024-01,North,Premium Pack,REP006,8,4994.25,39954.0,280000,378.24,6.15
2024-02,West,Economy Pack,REP007,13,1702.64,22134.33,117000,326.66,5.43
2024-06,East,Trial Pack,REP011,98,879.61,86201.51,63200,3572.73,4.48
2024-09,East,Standard Pack,REP003,50,2752.99,137649.36,234000,9271.33,2.79
2024-05,Central,Standard Pack,REP005,74,3118.05,230735.97,144000,9164.12,6.55
2023-04,North,Bulk Pack,REP012,64,7757.21,496461.21,264000,18748.78,0.2
2024-12,West,Standard Pack,REP007,39,2798.05,109123.99,69000,2178.52,4.08
2024-10,South,Premium Pack,REP013,74,4348.05,321755.64,270000,21958.91,0.7
2024-06,South,Economy Pack,REP004,54,1459.99,78839.62,24000,545.09,3.55
2024-12,East,Bulk Pack,REP015,52,9048.37,470515.44,408000,31161.99,11.82
2024-02,North,Trial Pack,REP018,73,837.0,61101.14,36800,2763.39,6.96
2024-09,West,Premium Pack,REP009,37,4476.87,165644.2,385000,5539.01,1.33
2024-10,North,Premium Pack,REP002,32,5334.22,170695.09,250000,10811.14,8.23
2023-02,South,Premium Pack,REP010,89,4461.44,397068.11,155000,26999.85,10.04
2023-02,East,Trial Pack,REP007,90,749.74,67476.69,39200,604.25,5.34
2023-03,East,Premium Pack,REP007,25,4497.06,112426.49,385000,6806.31,7.79
2024-12,Central,Bulk Pack,REP014,31,9071.93,281229.86,392000,22160.68,11.58
2023-02,North,Economy Pack,REP008,48,1517.42,72835.96,22500,2167.21,6.78
2024-06,East,Economy Pack,REP005,55,1363.02,74966.33,31500,3138.57,4.31
2023-09,West,Trial Pack,REP008,59,834.24,49220.27,19200,3603.28,8.0
2023-10,West,Bulk Pack,REP006,16,7198.48,115175.72,96000,3345.63,13.46
2023-11,North,Bulk Pack,REP001,12,8945.58,107346.9,456000,1306.23,6.6
2023-06,East,Premium Pack,REP012,15,5007.81,75117.15,125000,5939.76,7.28
2024-09,Central,Trial Pack,REP002,8,919.3,7354.39,54400,95.45,0.19
2023-03,North,Bulk Pack,REP020,38,7303.41,277529.47,112000,21613.05,5.05
2023-09,West,Standard Pack,REP006,87,3233.62,281325.3,60000,20284.59,9.78
2023-09,Central,Standard Pack,REP003,80,2851.69,228134.98,90000,2061.3,1.31
2023-01,Central,Economy Pack,REP020,38,1431.57,54399.8,84000,832.36,9.21
2024-11,North,Trial Pack,REP012,15,882.5,13237.45,35200,32.95,11.09
2023-02,South,Economy Pack,REP008,32,1581.75,50616.04,118500,3465.12,3.41
2023-08,East,Bulk Pack,REP015,42,7664.91,321926.08,240000,854.76,4.56
2024-02,West,Bulk Pack,REP012,21,8638.56,181409.66,120000,9734.19,8.41
2023-02,West,Trial Pack,REP008,66,771.3,50905.54,31200,3267.54,7.19
2024-05,North,Standard Pack,REP006,91,2664.71,242488.48,180000,16024.4,10.49
2024-08,Central,Premium Pack,REP019,51,4924.76,251162.93,235000,2416.13,1.03
2024-05,North,Premium Pack,REP020,93,5486.8,510272.61,310000,12133.78,4.5
2023-09,West,Economy Pack,REP004,96,1658.52,159217.8,75000,12597.67,9.39
2024-04,Central,Premium Pack,REP016,34,4893.77,166388.31,100000,13250.33,12.84
2024-09,Central,Bulk Pack,REP005,71,7972.1,566019.04,560000,1478.25,13.03
2023-02,North,Trial Pack,REP015,44,756.07,33266.96,44000,2059.57,9.03
2024-08,Central,Trial Pack,REP019,42,822.01,34524.31,30400,1766.56,10.15
2023-04,West,Trial Pack,REP003,90,743.04,66873.79,34400,2529.95,14.76
2023-08,North,Standard Pack,REP017,65,2975.24,193390.86,108000,2166.35,4.15
2023-01,North,Trial Pack,REP013,44,792.74,34880.49,45600,783.23,3.1
2024-01,Central,Premium Pack,REP014,66,5499.98,362998.39,145000,3137.05,5.08
2024-09,Central,Premium Pack,REP010,58,5647.63,327562.57,90000,21401.16,4.27
2024-05,Central,Economy Pack,REP007,59,1668.4,98435.61,33000,5318.83,0.67
2023-11,Central,Trial Pack,REP001,44,781.24,34374.51,56000,1963.56,9.12
2024-04,North,Trial Pack,REP007,96,877.09,84200.41,13600,5812.39,0.03
2024-01,North,Bulk Pack,REP018,22,7074.77,155644.95,336000,5680.87,5.54
2024-07,West,Bulk Pack,REP017,80,6992.43,559394.56,192000,33557.0,6.19
2023-09,South,Standard Pack,REP019,79,3088.82,244017.03,69000,12417.46,13.7
2023-07,West,Economy Pack,REP020,74,1329.25,98364.6,16500,4170.59,12.44
2023-08,South,Premium Pack,REP009,16,4692.56,75080.98,370000,506.9,5.99
2023-05,Central,Premium Pack,REP006,32,4831.09,154594.84,135000,4995.24,1.16
2023-09,Central,Standard Pack,REP012,36,3290.18,118446.48,111000,5488.97,11.39
2024-11,East,Standard Pack,REP004,37,3023.23,111859.56,129000,1493.19,6.46
2023-04,Central,Premium Pack,REP001,51,4481.69,228566.17,190000,9457.87,5.68
2023-03,East,Economy Pack,REP011,53,1320.57,69990.05,109500,3391.88,5.47
2024-08,West,Premium Pack,REP004,54,4978.38,268832.77,340000,11439.65,2.04
2024-02,East,Economy Pack,REP010,55,1285.51,70702.96,102000,831.82,7.32
2023-10,Central,Standard Pack,REP005,46,2887.32,132816.87,132000,9439.6,9.04
2023-09,North,Trial Pack,REP013,63,910.67,57372.37,20800,1769.42,5.11
2023-04,Central,Trial Pack,REP009,53,807.74,42810.32,49600,2855.11,6.61
2023-10,South,Trial Pack,REP019,89,762.19,67834.69,24000,5244.53,8.37
2024-07,North,Bulk Pack,REP003,17,8302.96,141150.36,160000,2340.94,11.74
2023-03,West,Standard Pack,REP008,90,3062.44,275619.57,84000,4438.84,5.93
2023-05,North,Trial Pack,REP004,23,711.77,16370.7,16000,462.91,6.88
2024-10,Central,Economy Pack,REP007,96,1300.98,124894.41,97500,2755.35,13.16
2023-12,North,Economy Pack,REP019,30,1716.44,51493.33,91500,3557.35,8.83
2023-04,East,Premium Pack,REP015,31,5016.91,155524.31,300000,11128.73,6.84
2024-07,West,Trial Pack,REP003,52,919.07,47791.61,43200,1679.01,12.7
2023-08,East,Economy Pack,REP005,17,1712.19,29107.23,105000,2157.15,0.29
2024-10,Central,Economy Pack,REP003,58,1512.25,87710.6,109500,2100.81,5.38
2023-02,North,Economy Pack,REP015,39,1724.02,67236.76,25500,5350.16,1.35
2023-07,East,Premium Pack,REP004,29,5199.36,150781.43,120000,1723.13,11.3
