month,department,category,budget,actual,variance,variance_pct,approved_by
2024-03,Marketing,Equipment,186593.41,203670.5,17077.09,9.15,CFO
2024-03,Marketing,Misc,435309.82,556469.8,121159.98,27.83,CFO
2024-03,Operations,Personnel,82882.69,89027.75,6145.06,7.41,VP Finance
2024-03,Operations,Travel,348261.39,422922.87,74661.48,21.44,VP Finance
2024-03,Operations,Software,154135.68,162946.01,8810.33,5.72,Controller
2024-03,Operations,Equipment,133759.47,121802.41,-11957.06,-8.94,CFO
2024-03,Operations,Misc,210368.53,231784.98,21416.45,10.18,Controller
2024-03,HR,Personnel,360776.84,375358.95,14582.11,4.04,VP Finance
2024-03,HR,Travel,218446.5,219561.0,1114.5,0.51,VP Finance
2024-03,HR,Software,496136.77,594869.78,98733.01,19.9,Controller
2024-03,HR,Equipment,77606.4,96803.95,19197.55,24.74,CFO
2024-03,HR,Misc,108697.75,129204.78,20507.03,18.87,Controller
2024-03,IT,Personnel,170884.2,220684.78,49800.58,29.14,VP Finance
2024-03,IT,Travel,89365.82,99260.13,9894.31,11.07,CFO
2024-03,IT,Software,255356.71,220369.99,-34986.72,-13.7,VP Finance
2024-03,IT,Equipment,118257.28,124247.87,5990.59,5.07,Controller
2024-03,IT,Misc,290668.17,313334.53,22666.36,7.8,VP Finance
2024-03,Finance,Personnel,363791.54,392314.22,28522.68,7.84,Controller
2024-03,Finance,Travel,385742.06,431606.47,45864.41,11.89,CFO
2024-03,Finance,Software,367451.99,428011.97,60559.98,16.48,VP Finance
2024-03,Finance,Equipment,271012.34,248995.56,-22016.78,-8.12,Controller
2024-03,Finance,Misc,472458.16,465386.12,-7072.04,-1.5,Controller
2024-03,Supply Chain,Personnel,463425.69,576136.96,112711.27,24.32,Controller
2024-03,Supply Chain,Travel,409190.96,352543.56,-56647.4,-13.84,VP Finance
2024-03,Supply Chain,Software,272649.58,232457.49,-40192.09,-14.74,CFO
2024-03,Supply Chain,Equipment,170243.27,149522.94,-20720.33,-12.17,Controller
2024-03,Supply Chain,Misc,194822.38,162634.96,-32187.42,-16.52,CFO
2024-04,Sales,Personnel,380482.29,300533.15,-79949.14,-21.01,CFO
2024-04,Sales,Travel,249680.91,277856.03,28175.12,11.28,CFO
2024-04,Sales,Software,95005.57,96454.6,1449.03,1.53,VP Finance
2024-04,Sales,Equipment,274795.44,244222.43,-30573.01,-11.13,CFO
2024-04,Sales,Misc,229215.38,197930.39,-31284.99,-13.65,CFO
2024-04,Marketing,Personnel,437129.27,564347.23,127217.96,29.1,CFO
2024-04,Marketing,Travel,143549.62,138971.83,-4577.79,-3.19,CFO
2024-04,Marketing,Software,55732.52,60460.93,4728.41,8.48,VP Finance
2024-04,Marketing,Equipment,324612.04,369927.04,45315.0,13.96,CFO
2024-04,Marketing,Misc,326852.37,321615.65,-5236.72,-1.6,Controller
2024-04,Operations,Personnel,108286.97,131420.84,23133.87,21.36,Controller
2024-04,Operations,Travel,140687.15,131925.17,-8761.98,-6.23,VP Finance
2024-04,Operations,Software,100598.19,80126.47,-20471.72,-20.35,VP Finance
2024-04,Operations,Equipment,144523.81,170704.92,26181.11,18.12,Controller
2024-04,Operations,Misc,337525.53,341684.27,4158.74,1.23,CFO
2024-04,HR,Personnel,372863.12,414478.5,41615.38,11.16,VP Finance
2024-04,HR,Travel,208745.81,256632.15,47886.34,22.94,CFO
2024-04,HR,Software,292151.81,292254.31,102.5,0.04,Controller
2024-04,HR,Equipment,499966.17,494671.64,-5294.53,-1.06,VP Finance
2024-04,HR,Misc,173112.92,218076.2,44963.28,25.97,Controller
2024-04,IT,Personnel,378984.15,380794.29,1810.14,0.48,CFO
2024-04,IT,Travel,323928.72,399055.18,75126.46,23.19,VP Finance
2024-04,IT,Software,98824.26,97400.46,-1423.8,-1.44,CFO
2024-04,IT,Equipment,100720.26,102513.86,1793.6,1.78,CFO
2024-04,IT,Misc,233260.89,178288.72,-54972.17,-23.57,VP Finance
2024-04,Finance,Personnel,124503.58,121104.95,-3398.63,-2.73,Controller
2024-04,Finance,Travel,257229.12,253644.87,-3584.25,-1.39,CFO
2024-04,Finance,Software,142029.67,138999.04,-3030.63,-2.13,CFO
2024-04,Finance,Equipment,472638.84,564843.69,92204.85,19.51,VP Finance
2024-04,Finance,Misc,338059.14,304075.0,-33984.14,-10.05,CFO
2024-04,Supply Chain,Personnel,61713.3,54330.71,-7382.59,-11.96,Controller
2024-04,Supply Chain,Travel,158017.29,181878.98,23861.69,15.1,Controller
2024-04,Supply Chain,Software,68916.38,88468.72,19552.34,28.37,CFO
2024-04,Supply Chain,Equipment,212316.44,215511.71,3195.27,1.5,CFO
2024-04,Supply Chain,Misc,99331.24,101262.42,1931.18,1.94,VP Finance
2024-05,Sales,Personnel,251315.82,309238.29,57922.47,23.05,Controller
2024-05,Sales,Travel,294912.37,226406.6,-68505.77,-23.23,VP Finance
2024-05,Sales,Software,258003.93,326276.81,68272.88,26.46,Controller
2024-05,Sales,Equipment,231289.58,256251.59,24962.01,10.79,CFO
2024-05,Sales,Misc,459988.31,550697.01,90708.7,19.72,Controller
2024-05,Marketing,Personnel,185983.48,167876.28,-18107.2,-9.74,VP Finance
2024-05,Marketing,Travel,194299.13,233356.23,39057.1,20.1,Controller
2024-05,Marketing,Software,315701.01,264982.95,-50718.06,-16.07,VP Finance
2024-05,Marketing,Equipment,392651.41,464874.71,72223.3,18.39,Controller
2024-05,Marketing,Misc,122168.06,111070.06,-11098.0,-9.08,Controller
2024-05,Operations,Personnel,297299.02,351229.11,53930.09,18.14,VP Finance
2024-05,Operations,Travel,288708.35,229741.55,-58966.8,-20.42,Controller
2024-05,Operations,Software,314038.68,340030.73,25992.05,8.28,VP Finance
2024-05,Operations,Equipment,368392.32,402297.58,33905.26,9.2,CFO
2024-05,Operations,Misc,275544.84,312367.84,36823.0,13.36,CFO
2024-05,HR,Personnel,472419.87,473513.78,1093.91,0.23,VP Finance
2024-05,HR,Travel,244617.52,239782.13,-4835.39,-1.98,Controller
2024-05,HR,Software,99138.69,99517.67,378.98,0.38,CFO
2024-05,HR,Equipment,154718.69,118999.06,-35719.63,-23.09,VP Finance
2024-05,HR,Misc,318147.64,328537.28,10389.64,3.27,CFO
2024-05,IT,Personnel,343954.07,290432.36,-53521.71,-15.56,VP Finance
2024-05,IT,Travel,382197.56,371098.49,-11099.07,-2.9,VP Finance
2024-05,IT,Software,154661.12,190915.95,36254.83,23.44,VP Finance
2024-05,IT,Equipment,464954.2,361750.98,-103203.22,-22.2,Controller
2024-05,IT,Misc,389957.77,415699.58,25741.81,6.6,VP Finance
2024-05,Finance,Personnel,147755.06,172504.04,24748.98,16.75,VP Finance
2024-05,Finance,Travel,211628.11,203341.47,-8286.64,-3.92,VP Finance
2024-05,Finance,Software,277813.28,263845.01,-13968.27,-5.03,VP Finance
2024-05,Finance,Equipment,67546.13,78547.98,11001.85,16.29,VP Finance
2024-05,Finance,Misc,242667.25,235877.54,-6789.71,-2.8,VP Finance
2024-05,Supply Chain,Personnel,293000.7,333347.51,40346.81,13.77,Controller
2024-05,Supply Chain,Travel,262212.17,309033.51,46821.34,17.86,CFO
2024-05,Supply Chain,Software,426571.2,419785.25,-6785.95,-1.59,Controller
2024-05,Supply Chain,Equipment,67062.62,67146.38,83.76,0.12,Controller
2024-05,Supply Chain,Misc,190887.43,183497.82,-7389.61,-3.87,VP Finance
2024-06,Sales,Personnel,118916.64,153661.17,34744.53,29.22,Controller
2024-06,Sales,Travel,102668.67,77908.31,-24760.36,-24.12,VP Finance
2024-06,Sales,Software,206922.75,255807.66,48884.91,23.62,CFO
2024-06,Sales,Equipment,78800.04,65004.14,-13795.9,-17.51,Controller
2024-06,Sales,Misc,251787.29,279810.53,28023.24,11.13,CFO
2024-06,Marketing,Personnel,297844.58,264419.21,-33425.37,-11.22,Controller
2024-06,Marketing,Travel,397147.9,308305.52,-88842.38,-22.37,CFO
2024-06,Marketing,Software,453967.35,585086.95,131119.6,28.88,CFO
2024-06,Marketing,Equipment,95927.8,84231.82,-11695.98,-12.19,Controller
2024-06,Marketing,Misc,64938.42,84304.32,19365.9,29.82,VP Finance
2024-06,Operations,Personnel,100731.78,110329.58,9597.8,9.53,Controller
2024-06,Operations,Travel,226391.5,250222.33,23830.83,10.53,CFO
2024-06,Operations,Software,162745.73,151995.63,-10750.1,-6.61,VP Finance
2024-06,Operations,Equipment,165248.19,203841.87,38593.68,23.35,VP Finance
2024-06,Operations,Misc,256346.95,220433.13,-35913.82,-14.01,Controller
2024-06,HR,Personnel,360883.03,314468.14,-46414.89,-12.86,Controller
2024-06,HR,Travel,441661.47,500351.31,58689.84,13.29,CFO
2024-06,HR,Software,105005.39,107282.56,2277.17,2.17,VP Finance
2024-06,HR,Equipment,419379.65,355622.59,-63757.06,-15.2,Controller
2024-06,HR,Misc,245731.6,199432.11,-46299.49,-18.84,Controller
2024-06,IT,Personnel,128474.72,118352.82,-10121.9,-7.88,CFO
2024-06,IT,Travel,74037.5,80298.38,6260.88,8.46,CFO
2024-06,IT,Software,376951.45,430125.16,53173.71,14.11,VP Finance
2024-06,IT,Equipment,470904.03,369980.11,-100923.92,-21.43,Controller
2024-06,IT,Misc,142376.16,135303.36,-7072.8,-4.97,VP Finance
2024-06,Finance,Personnel,437755.09,360116.31,-77638.78,-17.74,Controller
2024-06,Finance,Travel,415770.53,446040.97,30270.44,7.28,CFO
2024-06,Finance,Software,166119.75,131255.85,-34863.9,-20.99,CFO
2024-06,Finance,Equipment,438260.02,448770.21,10510.19,2.4,CFO
2024-06,Finance,Misc,107449.99,128016.09,20566.1,19.14,Controller
2024-06,Supply Chain,Personnel,334545.19,314820.33,-19724.86,-5.9,Controller
2024-06,Supply Chain,Travel,473641.55,587565.37,113923.82,24.05,VP Finance
2024-06,Supply Chain,Software,470252.05,436252.27,-33999.78,-7.23,CFO
2024-06,Supply Chain,Equipment,70465.08,75683.76,5218.68,7.41,VP Finance
2024-06,Supply Chain,Misc,64670.8,58415.98,-6254.82,-9.67,VP Finance
2024-07,Sales,Personnel,300367.17,306889.68,6522.51,2.17,VP Finance
2024-07,Sales,Travel,121075.87,151016.73,29940.86,24.73,VP Finance
2024-07,Sales,Software,181131.02,220617.31,39486.29,21.8,CFO
2024-07,Sales,Equipment,60798.18,62137.1,1338.92,2.2,VP Finance
2024-07,Sales,Misc,226517.97,224582.49,-1935.48,-0.85,CFO
2024-07,Marketing,Personnel,303672.96,240593.07,-63079.89,-20.77,VP Finance
2024-07,Marketing,Travel,466397.62,574109.54,107711.92,23.09,VP Finance
2024-07,Marketing,Software,458258.31,563818.48,105560.17,23.04,VP Finance
2024-07,Marketing,Equipment,343130.16,358295.7,15165.54,4.42,VP Finance
2024-07,Marketing,Misc,196070.05,192243.18,-3826.87,-1.95,VP Finance
2024-07,Operations,Personnel,209029.26,229047.67,20018.41,9.58,CFO
2024-07,Operations,Travel,408817.97,392418.68,-16399.29,-4.01,CFO
2024-07,Operations,Software,131217.35,152546.24,21328.89,16.25,CFO
2024-07,Operations,Equipment,272082.64,266403.9,-5678.74,-2.09,Controller
2024-07,Operations,Misc,280322.49,354223.03,73900.54,26.36,Controller
2024-07,HR,Personnel,302928.85,325940.89,23012.04,7.6,Controller
2024-07,HR,Travel,314588.41,283846.45,-30741.96,-9.77,VP Finance
2024-07,HR,Software,356119.53,441569.18,85449.65,23.99,CFO
2024-07,HR,Equipment,112065.35,144564.24,32498.89,29.0,VP Finance
2024-07,HR,Misc,169218.9,147507.86,-21711.04,-12.83,VP Finance
2024-07,IT,Personnel,114272.73,89195.46,-25077.27,-21.95,VP Finance
2024-07,IT,Travel,161159.84,142466.86,-18692.98,-11.6,VP Finance
2024-07,IT,Software,469856.69,547685.06,77828.37,16.56,CFO
2024-07,IT,Equipment,313021.19,291332.6,-21688.59,-6.93,VP Finance
2024-07,IT,Misc,168270.36,179487.69,11217.33,6.67,CFO
2024-07,Finance,Personnel,328622.01,358451.98,29829.97,9.08,CFO
2024-07,Finance,Travel,467659.48,411992.63,-55666.85,-11.9,VP Finance
2024-07,Finance,Software,297618.84,271676.86,-25941.98,-8.72,CFO
2024-07,Finance,Equipment,119557.47,146315.76,26758.29,22.38,Controller
2024-07,Finance,Misc,495070.44,384305.15,-110765.29,-22.37,Controller
2024-07,Supply Chain,Personnel,197095.46,244122.44,47026.98,23.86,Controller
2024-07,Supply Chain,Travel,110680.86,98613.55,-12067.31,-10.9,VP Finance
2024-07,Supply Chain,Software,216915.54,183283.3,-33632.24,-15.5,CFO
2024-07,Supply Chain,Equipment,366931.13,424987.71,58056.58,15.82,Controller
2024-07,Supply Chain,Misc,173209.1,186050.15,12841.05,7.41,VP Finance
2024-08,Sales,Personnel,176772.41,153025.22,-23747.19,-13.43,VP Finance
2024-08,Sales,Travel,156885.37,176263.89,19378.52,12.35,CFO
2024-08,Sales,Software,397395.08,505301.55,107906.47,27.15,Controller
2024-08,Sales,Equipment,112775.21,102024.64,-10750.57,-9.53,CFO
2024-08,Sales,Misc,475634.09,378744.45,-96889.64,-20.37,VP Finance
2024-08,Marketing,Personnel,86325.49,111291.85,24966.36,28.92,CFO
2024-08,Marketing,Travel,299978.31,355545.64,55567.33,18.52,VP Finance
2024-08,Marketing,Software,135580.16,118201.41,-17378.75,-12.82,CFO
2024-08,Marketing,Equipment,395700.2,354389.58,-41310.62,-10.44,VP Finance
2024-08,Marketing,Misc,221528.75,253735.24,32206.49,14.54,VP Finance
2024-08,Operations,Personnel,312898.38,301296.73,-11601.65,-3.71,VP Finance
2024-08,Operations,Travel,280181.81,318119.14,37937.33,13.54,CFO
2024-08,Operations,Software,181900.35,168723.09,-13177.26,-7.24,VP Finance
2024-08,Operations,Equipment,129928.92,108820.95,-21107.97,-16.25,VP Finance
2024-08,Operations,Misc,208815.3,184203.3,-24612.0,-11.79,CFO
2024-08,HR,Personnel,339683.21,352937.34,13254.13,3.9,Controller
2024-08,HR,Travel,187489.02,163385.23,-24103.79,-12.86,CFO
2024-08,HR,Software,384883.75,401275.95,16392.2,4.26,Controller
2024-08,HR,Equipment,83169.42,85806.47,2637.05,3.17,VP Finance
2024-08,HR,Misc,307257.05,388920.81,81663.76,26.58,Controller
2024-08,IT,Personnel,307701.76,352150.14,44448.38,14.45,CFO
2024-08,IT,Travel,388059.81,497063.49,109003.68,28.09,Controller
2024-08,IT,Software,50148.57,50637.26,488.69,0.97,VP Finance
2024-08,IT,Equipment,288735.39,250631.3,-38104.09,-13.2,Controller
2024-08,IT,Misc,262699.13,205857.79,-56841.34,-21.64,VP Finance
2024-08,Finance,Personnel,196027.15,239414.4,43387.25,22.13,Controller
2024-08,Finance,Travel,200805.92,193835.91,-6970.01,-3.47,CFO
2024-08,Finance,Software,255782.43,249841.8,-5940.63,-2.32,CFO
2024-08,Finance,Equipment,494292.0,586037.82,91745.82,18.56,CFO
2024-08,Finance,Misc,66844.39,80277.06,13432.67,20.1,VP Finance
2024-08,Supply Chain,Personnel,363369.13,294599.24,-68769.89,-18.93,VP Finance
2024-08,Supply Chain,Travel,414058.34,425624.82,11566.48,2.79,VP Finance
2024-08,Supply Chain,Software,343636.84,288623.11,-55013.73,-16.01,CFO
2024-08,Supply Chain,Equipment,161319.12,206171.78,44852.66,27.8,Controller
2024-08,Supply Chain,Misc,242942.68,298622.63,55679.95,22.92,CFO
2024-09,Sales,Personnel,420098.96,539726.96,119628.0,28.48,VP Finance
2024-09,Sales,Travel,313011.47,301996.33,-11015.14,-3.52,VP Finance
2024-09,Sales,Software,117508.71,124454.42,6945.71,5.91,VP Finance
2024-09,Sales,Equipment,381337.26,293811.94,-87525.32,-22.95,Controller
2024-09,Sales,Misc,464989.88,387540.53,-77449.35,-16.66,Controller
2024-09,Marketing,Personnel,393994.79,459662.34,65667.55,16.67,VP Finance
2024-09,Marketing,Travel,203825.96,253829.67,50003.71,24.53,CFO
2024-09,Marketing,Software,376253.07,287016.11,-89236.96,-23.72,CFO
2024-09,Marketing,Equipment,494413.58,468944.71,-25468.87,-5.15,CFO
2024-09,Marketing,Misc,219239.02,265721.12,46482.1,21.2,VP Finance
2024-09,Operations,Personnel,176690.77,137705.1,-38985.67,-22.06,CFO
2024-09,Operations,Travel,332887.77,420823.12,87935.35,26.42,Controller
2024-09,Operations,Software,91804.87,72043.16,-19761.71,-21.53,Controller
2024-09,Operations,Equipment,307354.54,393591.17,86236.63,28.06,VP Finance
2024-09,Operations,Misc,446938.47,421581.9,-25356.57,-5.67,Controller
2024-09,HR,Personnel,338960.21,331522.61,-7437.6,-2.19,CFO
2024-09,HR,Travel,81417.34,85991.58,4574.24,5.62,VP Finance
2024-09,HR,Software,114809.16,142360.11,27550.95,24.0,CFO
2024-09,HR,Equipment,390550.91,472690.27,82139.36,21.03,CFO
2024-09,HR,Misc,266995.53,304439.1,37443.57,14.02,VP Finance
2024-09,IT,Personnel,475778.17,430453.74,-45324.43,-9.53,Controller
2024-09,IT,Travel,441037.47,462170.63,21133.16,4.79,VP Finance
2024-09,IT,Software,445868.59,574676.34,128807.75,28.89,CFO
2024-09,IT,Equipment,179489.41,149649.09,-29840.32,-16.63,Controller
2024-09,IT,Misc,433731.54,479276.66,45545.12,10.5,Controller
2024-09,Finance,Personnel,102446.76,108951.41,6504.65,6.35,CFO
2024-09,Finance,Travel,400340.92,372545.95,-27794.97,-6.94,VP Finance
2024-09,Finance,Software,409405.15,317512.87,-91892.28,-22.45,Controller
2024-09,Finance,Equipment,229082.17,200781.09,-28301.08,-12.35,CFO
2024-09,Finance,Misc,261299.62,250445.81,-10853.81,-4.15,CFO
2024-09,Supply Chain,Personnel,203421.15,185803.32,-17617.83,-8.66,CFO
2024-09,Supply Chain,Travel,355798.34,313065.03,-42733.31,-12.01,Controller
2024-09,Supply Chain,Software,287663.03,356357.03,68694.0,23.88,VP Finance
2024-09,Supply Chain,Equipment,373064.6,322309.09,-50755.51,-13.61,Controller
2024-09,Supply Chain,Misc,385867.7,486826.08,100958.38,26.16,CFO
2024-10,Sales,Personnel,75628.79,65278.03,-10350.76,-13.69,Controller
2024-10,Sales,Travel,358616.82,329349.24,-29267.58,-8.16,VP Finance
2024-10,Sales,Software,475119.07,385712.39,-89406.68,-18.82,CFO
2024-10,Sales,Equipment,235143.76,221278.17,-13865.59,-5.9,Controller
2024-10,Sales,Misc,484061.08,490492.28,6431.2,1.33,VP Finance
2024-10,Marketing,Personnel,432353.58,556836.36,124482.78,28.79,CFO
2024-10,Marketing,Travel,209601.87,259502.65,49900.78,23.81,CFO
2024-10,Marketing,Software,120461.62,102689.95,-17771.67,-14.75,CFO
2024-10,Marketing,Equipment,183881.08,197024.59,13143.51,7.15,Controller
2024-10,Marketing,Misc,227071.7,177331.3,-49740.4,-21.91,CFO
2024-10,Operations,Personnel,163718.54,140604.77,-23113.77,-14.12,VP Finance
2024-10,Operations,Travel,341348.95,317369.55,-23979.4,-7.02,Controller
2024-10,Operations,Software,55902.5,67179.25,11276.75,20.17,Controller
2024-10,Operations,Equipment,264304.77,341818.84,77514.07,29.33,VP Finance
2024-10,Operations,Misc,410649.47,429656.42,19006.95,4.63,CFO
2024-10,HR,Personnel,344002.97,419093.49,75090.52,21.83,VP Finance
2024-10,HR,Travel,420678.45,450135.7,29457.25,7.0,Controller
2024-10,HR,Software,308916.53,308266.23,-650.3,-0.21,VP Finance
2024-10,HR,Equipment,162267.61,137845.75,-24421.86,-15.05,Controller
2024-10,HR,Misc,459306.02,458072.28,-1233.74,-0.27,VP Finance
2024-10,IT,Personnel,447692.0,504692.97,57000.97,12.73,CFO
2024-10,IT,Travel,190504.33,238177.32,47672.99,25.02,Controller
2024-10,IT,Software,425001.03,400055.72,-24945.31,-5.87,CFO
2024-10,IT,Equipment,70599.35,89135.73,18536.38,26.26,CFO
2024-10,IT,Misc,354500.94,441520.34,87019.4,24.55,CFO
2024-10,Finance,Personnel,369549.9,288587.16,-80962.74,-21.91,CFO
2024-10,Finance,Travel,206890.02,221591.03,14701.01,7.11,Controller
2024-10,Finance,Software,170903.77,139572.8,-31330.97,-18.33,CFO
2024-10,Finance,Equipment,129425.55,140517.19,11091.64,8.57,VP Finance
2024-10,Finance,Misc,180252.14,203523.82,23271.68,12.91,CFO
2024-10,Supply Chain,Personnel,316936.29,332759.25,15822.96,4.99,VP Finance
2024-10,Supply Chain,Travel,273986.07,269993.08,-3992.99,-1.46,VP Finance
2024-10,Supply Chain,Software,340490.3,279910.49,-60579.81,-17.79,VP Finance
2024-10,Supply Chain,Equipment,491266.46,585838.84,94572.38,19.25,CFO
2024-10,Supply Chain,Misc,327855.46,349540.76,21685.3,6.61,CFO
2024-11,Sales,Personnel,282671.76,219112.91,-63558.85,-22.49,CFO
2024-11,Sales,Travel,478883.44,422986.31,-55897.13,-11.67,VP Finance
2024-11,Sales,Software,87612.0,105348.5,17736.5,20.24,VP Finance
2024-11,Sales,Equipment,484031.86,524972.07,40940.21,8.46,VP Finance
2024-11,Sales,Misc,176119.39,201299.69,25180.3,14.3,Controller
2024-11,Marketing,Personnel,367829.97,405137.35,37307.38,10.14,CFO
2024-11,Marketing,Travel,482866.14,589801.03,106934.89,22.15,CFO
2024-11,Marketing,Software,186248.12,160210.29,-26037.83,-13.98,VP Finance
2024-11,Marketing,Equipment,248098.54,239306.49,-8792.05,-3.54,CFO
2024-11,Marketing,Misc,433819.88,401112.77,-32707.11,-7.54,VP Finance
2024-11,Operations,Personnel,202435.02,197671.83,-4763.19,-2.35,VP Finance
2024-11,Operations,Travel,379609.02,360177.33,-19431.69,-5.12,VP Finance
2024-11,Operations,Software,56447.8,52414.95,-4032.85,-7.14,Controller
2024-11,Operations,Equipment,386975.88,357181.22,-29794.66,-7.7,Controller
2024-11,Operations,Misc,404058.52,508269.99,104211.47,25.79,CFO
2024-11,HR,Personnel,321482.16,314245.36,-7236.8,-2.25,Controller
