customer_id,region,segment,last_purchase_date,frequency,monetary_value,recency_days,product_category,channel
CUST0036,West,Enterprise,2024-12-08,48,2700.27,23,Premium Pack,Retail
CUST0037,Central,B2C,2024-12-25,23,5202.33,6,Premium Pack,Field Sales
CUST0038,West,B2B,2024-04-14,15,11103.05,261,Trial Pack,Field Sales
CUST0039,West,B2C,2024-05-16,2,24284.81,229,Standard Pack,Retail
CUST0040,Central,B2B,2024-07-27,46,14955.94,157,Premium Pack,Online
CUST0041,East,Enterprise,2024-02-26,30,52866.07,309,Trial Pack,Field Sales
CUST0042,West,B2C,2024-05-22,19,16788.67,223,Economy Pack,Distributor
CUST0043,Central,Enterprise,2024-11-26,47,18849.12,35,Trial Pack,Distributor
CUST0044,North,B2C,2024-06-08,36,28657.71,206,Standard Pack,Retail
CUST0045,West,Enterprise,2024-02-02,2,2568.28,333,Economy Pack,Online
CUST0046,South,B2C,2024-12-13,8,18007.11,18,Economy Pack,Field Sales
CUST0047,East,Enterprise,2024-08-02,5,4453.41,151,Bulk Pack,Field Sales
CUST0048,Central,B2B,2024-07-13,22,4208.76,171,Standard Pack,Distributor
CUST0049,North,B2B,2024-08-20,8,40145.91,133,Trial Pack,Distributor
CUST0050,Central,B2C,2024-05-24,2,7290.48,221,Trial Pack,Retail
CUST0051,North,Enterprise,2024-01-08,48,32852.37,358,Economy Pack,Distributor
CUST0052,North,B2B,2024-05-18,8,49859.11,227,Premium Pack,Distributor
CUST0053,South,B2C,2024-04-27,6,12806.41,248,Economy Pack,Distributor
CUST0054,North,B2C,2024-09-28,47,988.16,94,Standard Pack,Online
CUST0055,North,Enterprise,2024-11-18,6,7702.94,43,Standard Pack,Distributor
CUST0056,South,Enterprise,2024-09-20,26,25249.31,102,Trial Pack,Online
CUST0057,East,Enterprise,2024-03-13,41,68413.25,293,Standard Pack,Retail
CUST0058,South,B2C,2024-08-13,5,35535.37,140,Trial Pack,Retail
CUST0059,Central,B2C,2024-02-05,29,101111.55,330,Premium Pack,Online
CUST0060,Central,B2C,2024-09-29,48,3635.77,93,Standard Pack,Retail
CUST0061,Central,B2B,2024-04-28,32,30626.95,247,Standard Pack,Retail
CUST0062,Central,Enterprise,2024-02-04,37,16732.97,331,Trial Pack,Online
CUST0063,East,B2B,2024-11-22,2,4472.47,39,Trial Pack,Online
CUST0064,East,B2C,2024-09-03,32,9438.17,119,Premium Pack,Distributor
CUST0065,South,B2C,2024-07-28,33,30759.2,156,Bulk Pack,Retail
CUST0066,South,Enterprise,2024-11-26,2,9906.9,35,Standard Pack,Online
CUST0067,West,Enterprise,2024-12-23,4,623.74,8,Bulk Pack,Online
CUST0068,West,B2C,2024-06-13,42,2158.09,201,Standard Pack,Retail
CUST0069,West,B2C,2024-06-01,23,10702.26,213,Standard Pack,Online
CUST0070,Central,Enterprise,2024-05-15,38,3357.65,230,Premium Pack,Field Sales
CUST0071,North,B2B,2024-10-10,39,78631.08,82,Economy Pack,Distributor
CUST0072,South,Enterprise,2024-04-05,27,13227.43,270,Bulk Pack,Online
CUST0073,West,B2C,2024-02-07,49,32419.98,328,Premium Pack,Online
CUST0074,West,B2C,2024-10-19,27,15230.16,73,Trial Pack,Field Sales
CUST0075,Central,B2B,2024-01-07,31,22135.97,359,Premium Pack,Distributor
CUST0076,South,Enterprise,2024-07-27,40,15285.3,157,Premium Pack,Online
CUST0077,South,Enterprise,2024-03-18,27,11573.54,288,Premium Pack,Distributor
CUST0078,North,B2B,2024-10-28,33,13240.42,64,Bulk Pack,Online
CUST0079,West,B2C,2024-03-20,44,13743.64,286,Standard Pack,Distributor
CUST0080,South,B2C,2024-09-20,42,45029.31,102,Trial Pack,Distributor
CUST0081,South,B2B,2024-12-20,16,30018.52,11,Standard Pack,Online
CUST0082,North,Enterprise,2024-12-21,46,17203.99,10,Standard Pack,Retail
CUST0083,Central,B2C,2024-02-27,24,24380.88,308,Bulk Pack,Online
CUST0084,West,Enterprise,2024-08-23,5,33739.85,130,Economy Pack,Retail
CUST0085,South,B2B,2024-10-05,46,55053.6,87,Standard Pack,Field Sales
CUST0086,North,B2C,2024-02-08,32,4647.18,327,Trial Pack,Retail
CUST0087,West,B2B,2024-02-28,23,5404.77,307,Trial Pack,Distributor
CUST0088,Central,B2B,2024-02-18,48,4620.43,317,Bulk Pack,Retail
CUST0089,East,Enterprise,2024-02-03,17,46447.63,332,Premium Pack,Field Sales
CUST0090,Central,Enterprise,2024-01-22,30,945.04,344,Bulk Pack,Distributor
CUST0091,West,B2C,2024-12-09,2,4037.25,22,Premium Pack,Field Sales
CUST0092,South,Enterprise,2024-10-19,7,41354.78,73,Standard Pack,Online
CUST0093,South,B2B,2024-01-28,7,968.37,338,Economy Pack,Field Sales
CUST0094,Central,Enterprise,2024-11-20,47,12276.04,41,Trial Pack,Retail
CUST0095,South,Enterprise,2024-07-21,40,13377.15,163,Standard Pack,Distributor
CUST0096,West,Enterprise,2024-03-01,38,5630.46,305,Economy Pack,Online
CUST0097,East,B2C,2024-11-01,6,8305.96,60,Trial Pack,Field Sales
CUST0098,East,B2C,2024-07-24,47,23167.89,160,Bulk Pack,Field Sales
CUST0099,East,Enterprise,2024-07-23,27,4544.18,161,Bulk Pack,Online
CUST0100,North,Enterprise,2024-04-30,38,15382.43,245,Standard Pack,Field Sales
CUST0101,North,Enterprise,2024-08-15,36,17454.73,138,Economy Pack,Distributor
CUST0102,North,B2B,2024-08-02,4,31267.48,151,Bulk Pack,Retail
CUST0103,South,B2B,2024-01-08,39,1895.89,358,Standard Pack,Online
CUST0104,South,B2C,2024-02-14,48,23842.51,321,Economy Pack,Online
CUST0105,East,Enterprise,2024-10-03,31,9822.68,89,Trial Pack,Distributor
CUST0106,North,B2B,2024-07-18,35,27024.07,166,Economy Pack,Distributor
CUST0107,North,B2C,2024-11-18,26,9978.04,43,Trial Pack,Distributor
CUST0108,South,B2B,2024-08-25,12,17147.74,128,Premium Pack,Distributor
CUST0109,South,B2C,2024-11-11,10,37188.39,50,Bulk Pack,Field Sales
CUST0110,Central,Enterprise,2024-02-23,37,18804.76,312,Trial Pack,Distributor
CUST0111,West,B2B,2024-01-11,48,8873.71,355,Premium Pack,Online
CUST0112,South,B2C,2024-09-22,13,73470.28,100,Bulk Pack,Online
CUST0113,South,Enterprise,2024-04-24,20,19469.43,251,Premium Pack,Field Sales
CUST0114,Central,B2B,2024-04-11,26,1060.1,264,Trial Pack,Retail
CUST0115,Central,Enterprise,2024-03-24,21,7189.01,282,Economy Pack,Field Sales
CUST0116,West,Enterprise,2024-09-03,47,27008.21,119,Premium Pack,Field Sales
CUST0117,South,B2B,2024-07-17,18,7036.3,167,Bulk Pack,Online
CUST0118,North,B2B,2024-12-17,20,4094.54,14,Trial Pack,Distributor
CUST0119,West,B2B,2024-08-31,49,793.95,122,Standard Pack,Distributor
CUST0120,West,B2B,2024-11-12,39,22655.02,49,Standard Pack,Retail
CUST0121,East,B2C,2024-10-20,23,1925.73,72,Standard Pack,Online
CUST0122,East,B2C,2024-11-02,33,30839.41,59,Economy Pack,Retail
CUST0123,North,Enterprise,2024-04-17,25,8702.72,258,Bulk Pack,Distributor
CUST0124,South,Enterprise,2024-01-04,10,4579.82,362,Premium Pack,Retail
CUST0125,East,Enterprise,2024-06-02,25,14020.79,212,Premium Pack,Online
CUST0126,East,B2B,2024-12-16,10,6808.36,15,Premium Pack,Online
CUST0127,South,B2C,2024-08-05,36,2804.26,148,Standard Pack,Distributor
CUST0128,Central,Enterprise,2024-04-20,29,14827.85,255,Economy Pack,Online
CUST0129,South,B2C,2024-10-16,25,6726.19,76,Bulk Pack,Distributor
CUST0130,South,B2C,2024-10-13,17,13258.09,79,Standard Pack,Field Sales
CUST0131,West,B2C,2024-07-06,40,16052.48,178,Economy Pack,Distributor
CUST0132,North,Enterprise,2024-10-18,6,30162.35,74,Economy Pack,Retail
CUST0133,South,B2C,2024-02-12,6,17579.94,323,Bulk Pack,Online
CUST0134,East,B2B,2024-09-20,12,2554.14,102,Standard Pack,Online
CUST0135,West,B2B,2024-04-22,36,3188.95,253,Trial Pack,Field Sales
CUST0136,Central,B2B,2024-06-12,11,2951.66,202,Bulk Pack,Retail
CUST0137,Central,B2B,2024-01-15,28,14368.45,351,Trial Pack,Retail
CUST0138,West,Enterprise,2024-06-07,33,18117.83,207,Bulk Pack,Field Sales
CUST0139,South,Enterprise,2024-03-27,28,20924.13,279,Trial Pack,Field Sales
CUST0140,Central,B2C,2024-03-03,23,9142.33,303,Premium Pack,Distributor
CUST0141,West,B2C,2024-06-20,16,13949.04,194,Premium Pack,Field Sales
CUST0142,Central,Enterprise,2024-06-12,14,12441.18,202,Economy Pack,Online
CUST0143,West,B2B,2024-06-29,40,6990.87,185,Standard Pack,Retail
CUST0144,North,B2B,2024-07-04,2,20343.44,180,Standard Pack,Online
CUST0145,South,B2B,2024-04-26,8,36038.83,249,Trial Pack,Distributor
CUST0146,South,Enterprise,2024-12-04,15,10832.19,27,Trial Pack,Retail
CUST0147,West,B2C,2024-10-31,47,28207.28,61,Trial Pack,Retail
CUST0148,Central,B2C,2024-06-04,19,27205.07,210,Bulk Pack,Field Sales
CUST0149,Central,Enterprise,2024-01-03,21,21028.54,363,Standard Pack,Retail
CUST0150,East,B2B,2024-05-14,16,44024.1,231,Bulk Pack,Retail
CUST0151,North,B2C,2024-08-20,46,9965.56,133,Bulk Pack,Online
CUST0152,East,B2C,2024-01-04,34,32572.06,362,Bulk Pack,Online
CUST0153,East,Enterprise,2024-02-02,42,19339.51,333,Bulk Pack,Retail
CUST0154,North,Enterprise,2024-02-06,14,10673.04,329,Trial Pack,Online
CUST0155,West,Enterprise,2024-04-04,36,33856.57,271,Bulk Pack,Distributor
CUST0156,East,Enterprise,2024-08-08,26,6013.28,145,Premium Pack,Retail
CUST0157,East,B2C,2024-11-03,39,7189.44,58,Bulk Pack,Online
CUST0158,South,B2B,2024-10-24,2,30935.2,68,Trial Pack,Retail
CUST0159,East,B2C,2024-05-10,11,6919.67,235,Premium Pack,Distributor
CUST0160,East,B2B,2024-04-26,42,4100.33,249,Economy Pack,Online
CUST0161,Central,Enterprise,2024-11-10,36,12633.48,51,Bulk Pack,Distributor
CUST0162,South,B2C,2024-07-27,45,23883.74,157,Bulk Pack,Online
CUST0163,South,Enterprise,2024-11-30,7,6120.23,31,Bulk Pack,Distributor
CUST0164,North,B2C,2024-09-25,3,16739.44,97,Economy Pack,Retail
CUST0165,West,B2B,2024-11-05,19,12035.89,56,Bulk Pack,Retail
CUST0166,North,B2B,2024-05-29,26,49880.25,216,Standard Pack,Distributor
CUST0167,West,B2B,2024-08-18,2,21567.39,135,Standard Pack,Online
CUST0168,Central,B2C,2024-01-19,18,17854.39,347,Trial Pack,Distributor
CUST0169,North,B2B,2024-08-04,8,28355.61,149,Bulk Pack,Retail
CUST0170,Central,B2C,2024-08-03,7,6395.84,150,Standard Pack,Field Sales
CUST0171,East,B2C,2024-07-01,26,9203.34,183,Economy Pack,Retail
CUST0172,North,Enterprise,2024-09-28,4,11362.79,94,Trial Pack,Field Sales
CUST0173,Central,Enterprise,2024-06-09,42,24466.6,205,Bulk Pack,Retail
CUST0174,South,B2B,2024-01-10,16,18521.14,356,Bulk Pack,Retail
CUST0175,West,B2B,2024-04-22,12,11897.72,253,Standard Pack,Distributor
CUST0176,North,B2B,2024-12-02,19,19152.36,29,Standard Pack,Retail
CUST0177,North,Enterprise,2024-12-18,30,12083.29,13,Standard Pack,Distributor
CUST0178,North,B2B,2024-05-25,12,4334.27,220,Premium Pack,Field Sales
CUST0179,Central,B2C,2024-12-03,33,12729.67,28,Trial Pack,Online
CUST0180,South,B2B,2024-04-29,4,1962.64,246,Bulk Pack,Online
CUST0181,West,B2C,2024-05-17,48,7475.91,228,Bulk Pack,Retail
CUST0182,Central,B2B,2024-03-23,36,13093.4,283,Standard Pack,Retail
CUST0183,West,B2B,2024-08-24,20,2882.31,129,Bulk Pack,Field Sales
CUST0184,West,B2B,2024-10-28,21,2667.34,64,Economy Pack,Field Sales
CUST0185,West,Enterprise,2024-09-22,17,5617.78,100,Trial Pack,Field Sales
CUST0186,East,B2C,2024-11-23,35,32473.84,38,Trial Pack,Online
CUST0187,North,Enterprise,2024-07-10,15,30853.66,174,Bulk Pack,Online
CUST0188,West,B2C,2024-05-06,14,1313.74,239,Premium Pack,Online
CUST0189,North,Enterprise,2024-10-18,7,98626.33,74,Premium Pack,Online
CUST0190,Central,B2B,2024-07-01,2,28723.96,183,Bulk Pack,Distributor
CUST0191,West,Enterprise,2024-09-19,3,2605.55,103,Standard Pack,Retail
CUST0192,West,B2C,2024-01-23,22,4632.68,343,Bulk Pack,Retail
CUST0193,Central,Enterprise,2024-07-10,41,35158.85,174,Trial Pack,Distributor
CUST0194,Central,B2C,2024-05-11,8,17565.59,234,Economy Pack,Retail
CUST0195,Central,B2C,2024-11-08,12,1800.75,53,Trial Pack,Field Sales
CUST0196,North,B2C,2024-12-04,4,16318.55,27,Bulk Pack,Online
CUST0197,Central,B2B,2024-04-18,48,19663.77,257,Standard Pack,Online
CUST0198,East,Enterprise,2024-12-01,12,4384.54,30,Economy Pack,Retail
CUST0199,Central,B2B,2024-02-11,7,9827.61,324,Premium Pack,Field Sales
CUST0200,East,B2C,2024-02-12,22,21333.83,323,Premium Pack,Online
CUST0201,West,B2B,2024-12-14,48,8508.82,17,Bulk Pack,Distributor
CUST0202,East,Enterprise,2024-06-14,5,40567.51,200,Standard Pack,Distributor
CUST0203,South,Enterprise,2024-09-10,20,5200.42,112,Trial Pack,Online
CUST0204,Central,B2C,2024-02-23,38,29217.73,312,Bulk Pack,Retail
CUST0205,West,B2C,2024-02-17,16,9541.88,318,Economy Pack,Field Sales
CUST0206,East,B2C,2024-12-21,16,8642.45,10,Economy Pack,Field Sales
CUST0207,West,B2C,2024-02-17,19,32893.07,318,Trial Pack,Field Sales
CUST0208,East,B2B,2024-02-25,33,5580.41,310,Standard Pack,Online
CUST0209,Central,Enterprise,2024-08-24,21,52942.45,129,Trial Pack,Online
CUST0210,Central,B2B,2024-02-06,16,20526.26,329,Trial Pack,Retail
CUST0211,East,B2C,2024-09-19,49,9829.25,103,Economy Pack,Online
CUST0212,Central,B2B,2024-09-22,1,18333.23,100,Economy Pack,Retail
CUST0213,Central,B2B,2024-10-24,26,790.15,68,Bulk Pack,Distributor
CUST0214,North,Enterprise,2024-03-23,2,19967.73,283,Premium Pack,Retail
CUST0215,South,B2B,2024-04-03,17,3799.72,272,Bulk Pack,Field Sales
CUST0216,South,B2B,2024-07-07,49,26675.8,177,Trial Pack,Retail
CUST0217,South,B2B,2024-11-01,48,24064.17,60,Bulk Pack,Field Sales
CUST0218,South,B2C,2024-12-03,14,1790.71,28,Premium Pack,Retail
CUST0219,West,B2C,2024-06-30,41,8886.84,184,Premium Pack,Online
CUST0220,West,Enterprise,2024-10-24,31,5274.78,68,Economy Pack,Field Sales
CUST0221,East,Enterprise,2024-12-07,34,19017.9,24,Bulk Pack,Retail
CUST0222,West,B2B,2024-09-24,47,953.25,98,Premium Pack,Distributor
CUST0223,East,Enterprise,2024-07-10,36,16225.14,174,Trial Pack,Field Sales
CUST0224,North,Enterprise,2024-12-24,43,61121.65,7,Trial Pack,Online
CUST0225,South,B2C,2024-07-29,28,22482.93,155,Premium Pack,Online
CUST0226,South,B2C,2024-01-27,15,1391.59,339,Standard Pack,Retail
CUST0227,East,Enterprise,2024-03-21,33,29818.38,285,Premium Pack,Distributor
CUST0228,South,Enterprise,2024-04-02,9,9487.37,273,Bulk Pack,Distributor
CUST0229,East,B2C,2024-01-27,46,3604.8,339,Economy Pack,Retail
CUST0230,North,B2C,2024-07-30,30,845.46,154,Economy Pack,Distributor
CUST0231,South,B2C,2024-02-16,21,19891.61,319,Standard Pack,Field Sales
CUST0232,South,Enterprise,2024-09-15,49,4056.3,107,Trial Pack,Distributor
CUST0233,Central,B2C,2024-02-02,31,8016.8,333,Premium Pack,Online
CUST0234,North,B2B,2024-10-31,16,68095.1,61,Trial Pack,Field Sales
CUST0235,East,Enterprise,2024-08-14,24,8602.97,139,Economy Pack,Field Sales
CUST0236,West,Enterprise,2024-06-05,3,49651.85,209,Standard Pack,Online
CUST0237,North,Enterprise,2024-08-29,49,19622.07,124,Bulk Pack,Distributor
CUST0238,South,Enterprise,2024-09-18,45,5838.97,104,Trial Pack,Field Sales
CUST0239,South,Enterprise,2024-09-10,21,11029.34,112,Bulk Pack,Online
CUST0240,North,B2C,2024-01-28,11,6255.78,338,Bulk Pack,Retail
CUST0241,East,B2C,2024-07-07,37,8188.77,177,Trial Pack,Retail
CUST0242,West,B2C,2024-10-14,9,1427.06,78,Economy Pack,Online
CUST0243,North,Enterprise,2024-12-25,1,27857.33,6,Trial Pack,Distributor
CUST0244,North,B2C,2024-08-08,2,17502.94,145,Trial Pack,Field Sales
CUST0245,Central,B2B,2024-07-18,13,46611.21,166,Standard Pack,Field Sales
CUST0246,East,B2C,2024-08-27,29,12480.33,126,Trial Pack,Online
CUST0247,East,Enterprise,2024-12-19,39,9456.44,12,Standard Pack,Distributor
CUST0248,Central,B2B,2024-09-25,21,3482.26,97,Bulk Pack,Online
CUST0249,West,B2C,2024-01-06,3,21619.22,360,Standard Pack,Field Sales
CUST0250,Central,Enterprise,2024-11-03,41,42737.0,58,Economy Pack,Distributor
CUST0251,West,Enterprise,2024-11-07,12,25222.68,54,Trial Pack,Online
CUST0252,East,B2C,2024-03-27,10,60150.31,279,Bulk Pack,Online
CUST0253,South,B2B,2024-10-27,32,44836.94,65,Standard Pack,Online
CUST0254,North,B2C,2024-11-22,10,21916.0,39,Trial Pack,Distributor
CUST0255,North,Enterprise,2024-09-13,8,16367.48,109,Standard Pack,Field Sales
CUST0256,North,B2C,2024-04-13,2,84231.63,262,Trial Pack,Online
CUST0257,West,B2C,2024-11-15,31,28720.59,46,Trial Pack,Online
CUST0258,Central,Enterprise,2024-08-26,44,42348.26,127,Premium Pack,Retail
CUST0259,East,B2C,2024-03-02,15,1934.62,304,Economy Pack,Distributor
CUST0260,East,B2C,2024-11-02,45,11254.41,59,Bulk Pack,Retail
CUST0261,Central,B2C,2024-03-27,37,24182.64,279,Bulk Pack,Distributor
CUST0262,East,B2B,2024-11-08,41,40987.45,53,Premium Pack,Distributor
CUST0263,East,Enterprise,2024-06-04,47,25756.76,210,Bulk Pack,Distributor
CUST0264,Central,B2B,2024-04-02,44,9397.54,273,Bulk Pack,Distributor
CUST0265,South,B2B,2024-02-05,16,1701.41,330,Standard Pack,Field Sales
CUST0266,West,B2B,2024-02-10,14,36960.03,325,Trial Pack,Online
CUST0267,South,Enterprise,2024-07-16,35,9235.44,168,Economy Pack,Field Sales
CUST0268,Central,B2C,2024-07-10,1,35110.79,174,Standard Pack,Online
CUST0269,West,B2C,2024-06-21,46,1005.31,193,Premium Pack,Retail
CUST0270,North,Enterprise,2024-08-05,38,25223.36,148,Economy Pack,Online
CUST0271,North,Enterprise,2024-07-16,46,42239.0,168,Premium Pack,Distributor
CUST0272,West,B2C,2024-04-21,18,12972.32,254,Trial Pack,Online
CUST0273,North,B2B,2024-11-07,39,12230.56,54,Bulk Pack,Distributor
CUST0274,Central,Enterprise,2024-02-06,48,24590.27,329,Bulk Pack,Retail
CUST0275,West,Enterprise,2024-02-16,6,78228.89,319,Standard Pack,Online
CUST0276,North,B2C,2024-12-23,30,20541.65,8,Trial Pack,Retail
CUST0277,Central,B2B,2024-02-15,25,1909.5,320,Standard Pack,Field Sales
CUST0278,East,B2B,2024-01-17,12,34312.9,349,Standard Pack,Retail
CUST0279,East,B2B,2024-07-14,26,638.48,170,Economy Pack,Field Sales
CUST0280,Central,B2C,2024-12-25,4,22504.7,6,Premium Pack,Distributor
CUST0281,East,B2B,2024-12-24,24,2197.05,7,Economy Pack,Distributor
CUST0282,North,Enterprise,2024-06-16,43,23721.24,198,Economy Pack,Field Sales
CUST0283,East,Enterprise,2024-11-12,7,41595.11,49,Economy Pack,Online
CUST0284,North,B2B,2024-10-29,10,5170.58,63,Trial Pack,Retail
CUST0285,East,B2C,2024-09-01,12,6095.35,121,Bulk Pack,Field Sales
CUST0286,South,B2B,2024-10-12,44,41703.52,80,Bulk Pack,Online
CUST0287,West,B2C,2024-05-25,25,65487.26,220,Standard Pack,Retail
CUST0288,West,B2B,2024-12-08,37,16302.53,23,Economy Pack,Field Sales
CUST0289,North,Enterprise,2024-03-21,34,1367.95,285,Standard Pack,Online
CUST0290,North,B2B,2024-12-29,11,5690.24,2,Bulk Pack,Distributor
CUST0291,South,B2C,2024-01-20,34,28517.11,346,Bulk Pack,Online
CUST0292,North,Enterprise,2024-03-04,31,7521.73,302,Premium Pack,Retail
CUST0293,West,B2B,2024-02-10,22,3749.0,325,Trial Pack,Field Sales
CUST0294,North,B2C,2024-12-15,26,13882.11,16,Premium Pack,Online
CUST0295,West,Enterprise,2024-10-05,31,37516.52,87,Standard Pack,Distributor
CUST0296,East,B2C,2024-05-15,3,8222.9,230,Standard Pack,Distributor
CUST0297,Central,B2C,2024-04-23,34,65734.52,252,Economy Pack,Retail
CUST0298,Central,Enterprise,2024-08-20,9,3569.02,133,Bulk Pack,Retail
CUST0299,North,Enterprise,2024-08-09,7,8486.31,144,Economy Pack,Retail
CUST0300,North,B2B,2024-07-13,26,8153.1,171,Economy Pack,Distributor
CUST0301,West,Enterprise,2024-12-25,6,14753.95,6,Economy Pack,Retail
CUST0302,Central,B2B,2024-06-30,18,35580.07,184,Premium Pack,Retail
CUST0303,West,B2C,2024-05-07,9,39656.12,238,Economy Pack,Distributor
CUST0304,Central,B2C,2024-08-06,19,20060.36,147,Premium Pack,Distributor
CUST0305,South,B2C,2024-09-18,37,14754.22,104,Premium Pack,Field Sales
CUST0306,South,B2C,2024-01-31,20,901.52,335,Trial Pack,Distributor
CUST0307,South,B2C,2024-10-14,5,18666.29,78,Trial Pack,Field Sales
CUST0308,West,B2C,2024-09-23,15,38714.66,99,Economy Pack,Online
CUST0309,Central,Enterprise,2024-05-26,19,31549.07,219,Bulk Pack,Distributor
CUST0310,North,B2B,2024-01-06,35,25767.64,360,Bulk Pack,Field Sales
CUST0311,West,Enterprise,2024-01-29,8,24132.66,337,Economy Pack,Distributor
CUST0312,South,B2C,2024-12-19,20,10081.81,12,Premium Pack,Field Sales
CUST0313,East,Enterprise,2024-07-31,25,59426.72,153,Bulk Pack,Retail
CUST0314,South,B2C,2024-06-06,25,16977.91,208,Economy Pack,Field Sales
CUST0315,West,Enterprise,2024-03-20,1,11254.93,286,Standard Pack,Online
CUST0316,South,B2B,2024-08-29,29,12294.31,124,Trial Pack,Retail
CUST0317,West,B2B,2024-10-23,1,19060.91,69,Economy Pack,Distributor
CUST0318,West,B2C,2024-08-29,27,3391.92,124,Trial Pack,Distributor
CUST0319,North,B2C,2024-10-21,39,3619.59,71,Trial Pack,Retail
CUST0320,East,B2C,2024-06-03,49,2646.24,211,Premium Pack,Distributor
CUST0321,West,Enterprise,2024-12-07,25,41324.93,24,Standard Pack,Distributor
CUST0322,South,B2B,2024-12-12,2,506.89,19,Premium Pack,Field Sales
CUST0323,West,B2C,2024-11-18,26,102850.03,43,Bulk Pack,Online
CUST0324,North,B2C,2024-09-16,16,11651.76,106,Bulk Pack,Online
CUST0325,North,Enterprise,2024-08-01,10,5187.14,152,Economy Pack,Retail
CUST0326,North,B2B,2024-12-28,38,11138.45,3,Standard Pack,Field Sales
CUST0327,West,B2B,2024-03-02,49,9677.71,304,Standard Pack,Online
CUST0328,West,B2C,2024-06-08,25,1373.16,206,Bulk Pack,Distributor
CUST0329,East,B2C,2024-04-06,34,14488.35,269,Bulk Pack,Retail
CUST0330,North,B2B,2024-09-08,5,23373.65,114,Premium Pack,Retail
CUST0331,East,B2B,2024-05-11,2,1210.01,234,Economy Pack,Distributor
CUST0332,North,B2B,2024-09-27,9,21330.52,95,Trial Pack,Retail
CUST0333,North,B2C,2024-11-20,25,575.64,41,Bulk Pack,Online
CUST0334,Central,B2B,2024-03-10,21,32757.11,296,Premium Pack,Online
CUST0335,West,B2B,2024-05-01,32,11714.19,244,Bulk Pack,Field Sales
CUST0336,South,B2C,2024-02-29,25,15386.3,306,Premium Pack,Online
CUST0337,East,B2C,2024-01-23,35,1834.15,343,Trial Pack,Online
CUST0338,West,Enterprise,2024-12-16,25,21694.19,15,Trial Pack,Online
CUST0339,North,B2C,2024-10-08,47,98219.71,84,Economy Pack,Field Sales
CUST0340,South,B2C,2024-10-15,44,3111.91,77,Bulk Pack,Online
CUST0341,East,B2B,2024-09-01,11,14072.88,121,Bulk Pack,Retail
CUST0342,East,B2C,2024-09-27,21,5573.78,95,Trial Pack,Field Sales
CUST0343,South,Enterprise,2024-07-12,30,1073.06,172,Trial Pack,Distributor
CUST0344,South,Enterprise,2024-12-24,14,21741.04,7,Economy Pack,Retail
