customer_id,region,segment,last_purchase_date,frequency,monetary_value,recency_days,product_category,channel,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST0067,West,Enterprise,2024-12-23,4,623.74,8,Bulk Pack,Online,5,1,1,7,Potential Loyalists
CUST0068,West,B2C,2024-06-13,42,2158.09,201,Standard Pack,Retail,3,5,1,9,Potential Loyalists
CUST0069,West,B2C,2024-06-01,23,10702.26,213,Standard Pack,Online,3,3,3,9,Potential Loyalists
CUST0070,Central,Enterprise,2024-05-15,38,3357.65,230,Premium Pack,Field Sales,2,4,1,7,Needs Attention
CUST0071,North,B2B,2024-10-10,39,78631.08,82,Economy Pack,Distributor,4,4,5,13,Champions
CUST0072,South,Enterprise,2024-04-05,27,13227.43,270,Bulk Pack,Online,2,3,3,8,Needs Attention
CUST0073,West,B2C,2024-02-07,49,32419.98,328,Premium Pack,Online,1,5,5,11,At Risk - High Value
CUST0074,West,B2C,2024-10-19,27,15230.16,73,Trial Pack,Field Sales,4,3,3,10,Loyal Customers
CUST0075,Central,B2B,2024-01-07,31,22135.97,359,Premium Pack,Distributor,1,4,4,9,Needs Attention
CUST0076,South,Enterprise,2024-07-27,40,15285.3,157,Premium Pack,Online,3,5,3,11,At Risk - High Value
CUST0077,South,Enterprise,2024-03-18,27,11573.54,288,Premium Pack,Distributor,1,3,3,7,Needs Attention
CUST0078,North,B2B,2024-10-28,33,13240.42,64,Bulk Pack,Online,5,4,3,12,Loyal Customers
CUST0079,West,B2C,2024-03-20,44,13743.64,286,Standard Pack,Distributor,2,5,3,10,At Risk - High Value
CUST0080,South,B2C,2024-09-20,42,45029.31,102,Trial Pack,Distributor,4,5,5,14,Champions
CUST0081,South,B2B,2024-12-20,16,30018.52,11,Standard Pack,Online,5,2,4,11,Loyal Customers
CUST0082,North,Enterprise,2024-12-21,46,17203.99,10,Standard Pack,Retail,5,5,3,13,Champions
CUST0083,Central,B2C,2024-02-27,24,24380.88,308,Bulk Pack,Online,1,3,4,8,Needs Attention
CUST0084,West,Enterprise,2024-08-23,5,33739.85,130,Economy Pack,Retail,4,1,5,10,Loyal Customers
CUST0085,South,B2B,2024-10-05,46,55053.6,87,Standard Pack,Field Sales,4,5,5,14,Champions
CUST0086,North,B2C,2024-02-08,32,4647.18,327,Trial Pack,Retail,1,4,2,7,Needs Attention
CUST0087,West,B2B,2024-02-28,23,5404.77,307,Trial Pack,Distributor,1,3,2,6,Hibernating
CUST0088,Central,B2B,2024-02-18,48,4620.43,317,Bulk Pack,Retail,1,5,2,8,Needs Attention
CUST0089,East,Enterprise,2024-02-03,17,46447.63,332,Premium Pack,Field Sales,1,2,5,8,Needs Attention
CUST0090,Central,Enterprise,2024-01-22,30,945.04,344,Bulk Pack,Distributor,1,3,1,5,Hibernating
CUST0091,West,B2C,2024-12-09,2,4037.25,22,Premium Pack,Field Sales,5,1,1,7,Potential Loyalists
CUST0092,South,Enterprise,2024-10-19,7,41354.78,73,Standard Pack,Online,4,1,5,10,Loyal Customers
CUST0093,South,B2B,2024-01-28,7,968.37,338,Economy Pack,Field Sales,1,1,1,3,Hibernating
CUST0094,Central,Enterprise,2024-11-20,47,12276.04,41,Trial Pack,Retail,5,5,3,13,Champions
CUST0095,South,Enterprise,2024-07-21,40,13377.15,163,Standard Pack,Distributor,3,5,3,11,At Risk - High Value
CUST0096,West,Enterprise,2024-03-01,38,5630.46,305,Economy Pack,Online,1,4,2,7,Needs Attention
CUST0097,East,B2C,2024-11-01,6,8305.96,60,Trial Pack,Field Sales,5,1,2,8,Potential Loyalists
CUST0098,East,B2C,2024-07-24,47,23167.89,160,Bulk Pack,Field Sales,3,5,4,12,At Risk - High Value
CUST0099,East,Enterprise,2024-07-23,27,4544.18,161,Bulk Pack,Online,3,3,1,7,Potential Loyalists
CUST0100,North,Enterprise,2024-04-30,38,15382.43,245,Standard Pack,Field Sales,2,4,3,9,Needs Attention
CUST0101,North,Enterprise,2024-08-15,36,17454.73,138,Economy Pack,Distributor,4,4,3,11,Loyal Customers
CUST0102,North,B2B,2024-08-02,4,31267.48,151,Bulk Pack,Retail,3,1,4,8,Potential Loyalists
CUST0103,South,B2B,2024-01-08,39,1895.89,358,Standard Pack,Online,1,4,1,6,Cannot Lose Them
CUST0104,South,B2C,2024-02-14,48,23842.51,321,Economy Pack,Online,1,5,4,10,At Risk - High Value
CUST0105,East,Enterprise,2024-10-03,31,9822.68,89,Trial Pack,Distributor,4,4,2,10,Loyal Customers
CUST0106,North,B2B,2024-07-18,35,27024.07,166,Economy Pack,Distributor,3,4,4,11,At Risk - High Value
CUST0107,North,B2C,2024-11-18,26,9978.04,43,Trial Pack,Distributor,5,3,2,10,Loyal Customers
CUST0108,South,B2B,2024-08-25,12,17147.74,128,Premium Pack,Distributor,4,2,3,9,Potential Loyalists
CUST0109,South,B2C,2024-11-11,10,37188.39,50,Bulk Pack,Field Sales,5,1,5,11,Loyal Customers
CUST0110,Central,Enterprise,2024-02-23,37,18804.76,312,Trial Pack,Distributor,1,4,3,8,Needs Attention
CUST0111,West,B2B,2024-01-11,48,8873.71,355,Premium Pack,Online,1,5,2,8,Needs Attention
CUST0112,South,B2C,2024-09-22,13,73470.28,100,Bulk Pack,Online,4,2,5,11,Loyal Customers
CUST0113,South,Enterprise,2024-04-24,20,19469.43,251,Premium Pack,Field Sales,2,2,3,7,Needs Attention
CUST0114,Central,B2B,2024-04-11,26,1060.1,264,Trial Pack,Retail,2,3,1,6,Hibernating
CUST0115,Central,Enterprise,2024-03-24,21,7189.01,282,Economy Pack,Field Sales,2,3,2,7,Needs Attention
CUST0116,West,Enterprise,2024-09-03,47,27008.21,119,Premium Pack,Field Sales,4,5,4,13,Champions
CUST0117,South,B2B,2024-07-17,18,7036.3,167,Bulk Pack,Online,3,2,2,7,Potential Loyalists
CUST0118,North,B2B,2024-12-17,20,4094.54,14,Trial Pack,Distributor,5,2,1,8,Potential Loyalists
CUST0119,West,B2B,2024-08-31,49,793.95,122,Standard Pack,Distributor,4,5,1,10,Loyal Customers
CUST0120,West,B2B,2024-11-12,39,22655.02,49,Standard Pack,Retail,5,4,4,13,Champions
CUST0121,East,B2C,2024-10-20,23,1925.73,72,Standard Pack,Online,4,3,1,8,Potential Loyalists
CUST0122,East,B2C,2024-11-02,33,30839.41,59,Economy Pack,Retail,5,4,4,13,Champions
CUST0123,North,Enterprise,2024-04-17,25,8702.72,258,Bulk Pack,Distributor,2,3,2,7,Needs Attention
CUST0124,South,Enterprise,2024-01-04,10,4579.82,362,Premium Pack,Retail,1,1,2,4,Hibernating
CUST0125,East,Enterprise,2024-06-02,25,14020.79,212,Premium Pack,Online,3,3,3,9,Potential Loyalists
CUST0126,East,B2B,2024-12-16,10,6808.36,15,Premium Pack,Online,5,1,2,8,Potential Loyalists
CUST0127,South,B2C,2024-08-05,36,2804.26,148,Standard Pack,Distributor,3,4,1,8,Potential Loyalists
CUST0128,Central,Enterprise,2024-04-20,29,14827.85,255,Economy Pack,Online,2,3,3,8,Needs Attention
CUST0129,South,B2C,2024-10-16,25,6726.19,76,Bulk Pack,Distributor,4,3,2,9,Potential Loyalists
CUST0130,South,B2C,2024-10-13,17,13258.09,79,Standard Pack,Field Sales,4,2,3,9,Potential Loyalists
CUST0131,West,B2C,2024-07-06,40,16052.48,178,Economy Pack,Distributor,3,5,3,11,At Risk - High Value
CUST0132,North,Enterprise,2024-10-18,6,30162.35,74,Economy Pack,Retail,4,1,4,9,Potential Loyalists
CUST0133,South,B2C,2024-02-12,6,17579.94,323,Bulk Pack,Online,1,1,3,5,Hibernating
CUST0134,East,B2B,2024-09-20,12,2554.14,102,Standard Pack,Online,4,2,1,7,Potential Loyalists
CUST0135,West,B2B,2024-04-22,36,3188.95,253,Trial Pack,Field Sales,2,4,1,7,Needs Attention
CUST0136,Central,B2B,2024-06-12,11,2951.66,202,Bulk Pack,Retail,3,2,1,6,Hibernating
CUST0137,Central,B2B,2024-01-15,28,14368.45,351,Trial Pack,Retail,1,3,3,7,Needs Attention
CUST0138,West,Enterprise,2024-06-07,33,18117.83,207,Bulk Pack,Field Sales,3,4,3,10,At Risk - High Value
CUST0139,South,Enterprise,2024-03-27,28,20924.13,279,Trial Pack,Field Sales,2,3,4,9,Needs Attention
CUST0140,Central,B2C,2024-03-03,23,9142.33,303,Premium Pack,Distributor,1,3,2,6,Hibernating
CUST0141,West,B2C,2024-06-20,16,13949.04,194,Premium Pack,Field Sales,3,2,3,8,Potential Loyalists
CUST0142,Central,Enterprise,2024-06-12,14,12441.18,202,Economy Pack,Online,3,2,3,8,Potential Loyalists
CUST0143,West,B2B,2024-06-29,40,6990.87,185,Standard Pack,Retail,3,5,2,10,At Risk - High Value
CUST0144,North,B2B,2024-07-04,2,20343.44,180,Standard Pack,Online,3,1,4,8,Potential Loyalists
CUST0145,South,B2B,2024-04-26,8,36038.83,249,Trial Pack,Distributor,2,1,5,8,Needs Attention
CUST0146,South,Enterprise,2024-12-04,15,10832.19,27,Trial Pack,Retail,5,2,3,10,Loyal Customers
CUST0147,West,B2C,2024-10-31,47,28207.28,61,Trial Pack,Retail,5,5,4,14,Champions
CUST0148,Central,B2C,2024-06-04,19,27205.07,210,Bulk Pack,Field Sales,3,2,4,9,Potential Loyalists
CUST0149,Central,Enterprise,2024-01-03,21,21028.54,363,Standard Pack,Retail,1,3,4,8,Needs Attention
CUST0150,East,B2B,2024-05-14,16,44024.1,231,Bulk Pack,Retail,2,2,5,9,Needs Attention
CUST0151,North,B2C,2024-08-20,46,9965.56,133,Bulk Pack,Online,4,5,2,11,Loyal Customers
CUST0152,East,B2C,2024-01-04,34,32572.06,362,Bulk Pack,Online,1,4,5,10,At Risk - High Value
CUST0153,East,Enterprise,2024-02-02,42,19339.51,333,Bulk Pack,Retail,1,5,3,9,Needs Attention
CUST0154,North,Enterprise,2024-02-06,14,10673.04,329,Trial Pack,Online,1,2,3,6,Hibernating
CUST0155,West,Enterprise,2024-04-04,36,33856.57,271,Bulk Pack,Distributor,2,4,5,11,At Risk - High Value
CUST0156,East,Enterprise,2024-08-08,26,6013.28,145,Premium Pack,Retail,3,3,2,8,Potential Loyalists
CUST0157,East,B2C,2024-11-03,39,7189.44,58,Bulk Pack,Online,5,4,2,11,Loyal Customers
CUST0158,South,B2B,2024-10-24,2,30935.2,68,Trial Pack,Retail,5,1,4,10,Loyal Customers
CUST0159,East,B2C,2024-05-10,11,6919.67,235,Premium Pack,Distributor,2,2,2,6,Hibernating
CUST0160,East,B2B,2024-04-26,42,4100.33,249,Economy Pack,Online,2,5,1,8,Needs Attention
CUST0161,Central,Enterprise,2024-11-10,36,12633.48,51,Bulk Pack,Distributor,5,4,3,12,Loyal Customers
CUST0162,South,B2C,2024-07-27,45,23883.74,157,Bulk Pack,Online,3,5,4,12,At Risk - High Value
CUST0163,South,Enterprise,2024-11-30,7,6120.23,31,Bulk Pack,Distributor,5,1,2,8,Potential Loyalists
CUST0164,North,B2C,2024-09-25,3,16739.44,97,Economy Pack,Retail,4,1,3,8,Potential Loyalists
CUST0165,West,B2B,2024-11-05,19,12035.89,56,Bulk Pack,Retail,5,2,3,10,Loyal Customers
CUST0166,North,B2B,2024-05-29,26,49880.25,216,Standard Pack,Distributor,2,3,5,10,At Risk - High Value
CUST0167,West,B2B,2024-08-18,2,21567.39,135,Standard Pack,Online,4,1,4,9,Potential Loyalists
CUST0168,Central,B2C,2024-01-19,18,17854.39,347,Trial Pack,Distributor,1,2,3,6,Hibernating
CUST0169,North,B2B,2024-08-04,8,28355.61,149,Bulk Pack,Retail,3,1,4,8,Potential Loyalists
CUST0170,Central,B2C,2024-08-03,7,6395.84,150,Standard Pack,Field Sales,3,1,2,6,Hibernating
CUST0171,East,B2C,2024-07-01,26,9203.34,183,Economy Pack,Retail,3,3,2,8,Potential Loyalists
CUST0172,North,Enterprise,2024-09-28,4,11362.79,94,Trial Pack,Field Sales,4,1,3,8,Potential Loyalists
CUST0173,Central,Enterprise,2024-06-09,42,24466.6,205,Bulk Pack,Retail,3,5,4,12,At Risk - High Value
CUST0174,South,B2B,2024-01-10,16,18521.14,356,Bulk Pack,Retail,1,2,3,6,Hibernating
CUST0175,West,B2B,2024-04-22,12,11897.72,253,Standard Pack,Distributor,2,2,3,7,Needs Attention
CUST0176,North,B2B,2024-12-02,19,19152.36,29,Standard Pack,Retail,5,2,3,10,Loyal Customers
CUST0177,North,Enterprise,2024-12-18,30,12083.29,13,Standard Pack,Distributor,5,3,3,11,Loyal Customers
CUST0178,North,B2B,2024-05-25,12,4334.27,220,Premium Pack,Field Sales,2,2,1,5,Hibernating
CUST0179,Central,B2C,2024-12-03,33,12729.67,28,Trial Pack,Online,5,4,3,12,Loyal Customers
CUST0180,South,B2B,2024-04-29,4,1962.64,246,Bulk Pack,Online,2,1,1,4,Hibernating
CUST0181,West,B2C,2024-05-17,48,7475.91,228,Bulk Pack,Retail,2,5,2,9,Needs Attention
CUST0182,Central,B2B,2024-03-23,36,13093.4,283,Standard Pack,Retail,2,4,3,9,Needs Attention
CUST0183,West,B2B,2024-08-24,20,2882.31,129,Bulk Pack,Field Sales,4,2,1,7,Potential Loyalists
CUST0184,West,B2B,2024-10-28,21,2667.34,64,Economy Pack,Field Sales,5,3,1,9,Potential Loyalists
CUST0185,West,Enterprise,2024-09-22,17,5617.78,100,Trial Pack,Field Sales,4,2,2,8,Potential Loyalists
CUST0186,East,B2C,2024-11-23,35,32473.84,38,Trial Pack,Online,5,4,5,14,Champions
CUST0187,North,Enterprise,2024-07-10,15,30853.66,174,Bulk Pack,Online,3,2,4,9,Potential Loyalists
CUST0188,West,B2C,2024-05-06,14,1313.74,239,Premium Pack,Online,2,2,1,5,Hibernating
CUST0189,North,Enterprise,2024-10-18,7,98626.33,74,Premium Pack,Online,4,1,5,10,Loyal Customers
CUST0190,Central,B2B,2024-07-01,2,28723.96,183,Bulk Pack,Distributor,3,1,4,8,Potential Loyalists
CUST0191,West,Enterprise,2024-09-19,3,2605.55,103,Standard Pack,Retail,4,1,1,6,New Customers
CUST0192,West,B2C,2024-01-23,22,4632.68,343,Bulk Pack,Retail,1,3,2,6,Hibernating
CUST0193,Central,Enterprise,2024-07-10,41,35158.85,174,Trial Pack,Distributor,3,5,5,13,Champions
CUST0194,Central,B2C,2024-05-11,8,17565.59,234,Economy Pack,Retail,2,1,3,6,Hibernating
CUST0195,Central,B2C,2024-11-08,12,1800.75,53,Trial Pack,Field Sales,5,2,1,8,Potential Loyalists
CUST0196,North,B2C,2024-12-04,4,16318.55,27,Bulk Pack,Online,5,1,3,9,Potential Loyalists
CUST0197,Central,B2B,2024-04-18,48,19663.77,257,Standard Pack,Online,2,5,4,11,At Risk - High Value
CUST0198,East,Enterprise,2024-12-01,12,4384.54,30,Economy Pack,Retail,5,2,1,8,Potential Loyalists
CUST0199,Central,B2B,2024-02-11,7,9827.61,324,Premium Pack,Field Sales,1,1,2,4,Hibernating
CUST0200,East,B2C,2024-02-12,22,21333.83,323,Premium Pack,Online,1,3,4,8,Needs Attention
CUST0201,West,B2B,2024-12-14,48,8508.82,17,Bulk Pack,Distributor,5,5,2,12,Loyal Customers
CUST0202,East,Enterprise,2024-06-14,5,40567.51,200,Standard Pack,Distributor,3,1,5,9,Potential Loyalists
CUST0203,South,Enterprise,2024-09-10,20,5200.42,112,Trial Pack,Online,4,2,2,8,Potential Loyalists
CUST0204,Central,B2C,2024-02-23,38,29217.73,312,Bulk Pack,Retail,1,4,4,9,Needs Attention
CUST0205,West,B2C,2024-02-17,16,9541.88,318,Economy Pack,Field Sales,1,2,2,5,Hibernating
CUST0206,East,B2C,2024-12-21,16,8642.45,10,Economy Pack,Field Sales,5,2,2,9,Potential Loyalists
CUST0207,West,B2C,2024-02-17,19,32893.07,318,Trial Pack,Field Sales,1,2,5,8,Needs Attention
CUST0208,East,B2B,2024-02-25,33,5580.41,310,Standard Pack,Online,1,4,2,7,Needs Attention
CUST0209,Central,Enterprise,2024-08-24,21,52942.45,129,Trial Pack,Online,4,3,5,12,Loyal Customers
CUST0210,Central,B2B,2024-02-06,16,20526.26,329,Trial Pack,Retail,1,2,4,7,Needs Attention
CUST0211,East,B2C,2024-09-19,49,9829.25,103,Economy Pack,Online,4,5,2,11,Loyal Customers
CUST0212,Central,B2B,2024-09-22,1,18333.23,100,Economy Pack,Retail,4,1,3,8,Potential Loyalists
CUST0213,Central,B2B,2024-10-24,26,790.15,68,Bulk Pack,Distributor,5,3,1,9,Potential Loyalists
CUST0214,North,Enterprise,2024-03-23,2,19967.73,283,Premium Pack,Retail,2,1,4,7,Needs Attention
CUST0215,South,B2B,2024-04-03,17,3799.72,272,Bulk Pack,Field Sales,2,2,1,5,Hibernating
CUST0216,South,B2B,2024-07-07,49,26675.8,177,Trial Pack,Retail,3,5,4,12,At Risk - High Value
CUST0217,South,B2B,2024-11-01,48,24064.17,60,Bulk Pack,Field Sales,5,5,4,14,Champions
CUST0218,South,B2C,2024-12-03,14,1790.71,28,Premium Pack,Retail,5,2,1,8,Potential Loyalists
CUST0219,West,B2C,2024-06-30,41,8886.84,184,Premium Pack,Online,3,5,2,10,At Risk - High Value
CUST0220,West,Enterprise,2024-10-24,31,5274.78,68,Economy Pack,Field Sales,5,4,2,11,Loyal Customers
CUST0221,East,Enterprise,2024-12-07,34,19017.9,24,Bulk Pack,Retail,5,4,3,12,Loyal Customers
CUST0222,West,B2B,2024-09-24,47,953.25,98,Premium Pack,Distributor,4,5,1,10,Loyal Customers
CUST0223,East,Enterprise,2024-07-10,36,16225.14,174,Trial Pack,Field Sales,3,4,3,10,At Risk - High Value
CUST0224,North,Enterprise,2024-12-24,43,61121.65,7,Trial Pack,Online,5,5,5,15,Champions
CUST0225,South,B2C,2024-07-29,28,22482.93,155,Premium Pack,Online,3,3,4,10,At Risk - High Value
CUST0226,South,B2C,2024-01-27,15,1391.59,339,Standard Pack,Retail,1,2,1,4,Hibernating
CUST0227,East,Enterprise,2024-03-21,33,29818.38,285,Premium Pack,Distributor,2,4,4,10,At Risk - High Value
CUST0228,South,Enterprise,2024-04-02,9,9487.37,273,Bulk Pack,Distributor,2,1,2,5,Hibernating
CUST0229,East,B2C,2024-01-27,46,3604.8,339,Economy Pack,Retail,1,5,1,7,Needs Attention
CUST0230,North,B2C,2024-07-30,30,845.46,154,Economy Pack,Distributor,3,3,1,7,Potential Loyalists
CUST0231,South,B2C,2024-02-16,21,19891.61,319,Standard Pack,Field Sales,1,3,4,8,Needs Attention
CUST0232,South,Enterprise,2024-09-15,49,4056.3,107,Trial Pack,Distributor,4,5,1,10,Loyal Customers
CUST0233,Central,B2C,2024-02-02,31,8016.8,333,Premium Pack,Online,1,4,2,7,Needs Attention
CUST0234,North,B2B,2024-10-31,16,68095.1,61,Trial Pack,Field Sales,5,2,5,12,Loyal Customers
CUST0235,East,Enterprise,2024-08-14,24,8602.97,139,Economy Pack,Field Sales,4,3,2,9,Potential Loyalists
CUST0236,West,Enterprise,2024-06-05,3,49651.85,209,Standard Pack,Online,3,1,5,9,Potential Loyalists
CUST0237,North,Enterprise,2024-08-29,49,19622.07,124,Bulk Pack,Distributor,4,5,4,13,Champions
CUST0238,South,Enterprise,2024-09-18,45,5838.97,104,Trial Pack,Field Sales,4,5,2,11,Loyal Customers
CUST0239,South,Enterprise,2024-09-10,21,11029.34,112,Bulk Pack,Online,4,3,3,10,Loyal Customers
CUST0240,North,B2C,2024-01-28,11,6255.78,338,Bulk Pack,Retail,1,2,2,5,Hibernating
CUST0241,East,B2C,2024-07-07,37,8188.77,177,Trial Pack,Retail,3,4,2,9,Potential Loyalists
CUST0242,West,B2C,2024-10-14,9,1427.06,78,Economy Pack,Online,4,1,1,6,New Customers
CUST0243,North,Enterprise,2024-12-25,1,27857.33,6,Trial Pack,Distributor,5,1,4,10,Loyal Customers
CUST0244,North,B2C,2024-08-08,2,17502.94,145,Trial Pack,Field Sales,3,1,3,7,Potential Loyalists
CUST0245,Central,B2B,2024-07-18,13,46611.21,166,Standard Pack,Field Sales,3,2,5,10,At Risk - High Value
CUST0246,East,B2C,2024-08-27,29,12480.33,126,Trial Pack,Online,4,3,3,10,Loyal Customers
