customer_id,region,recency_days,frequency,monetary_value,Segment
CUST0098,East,160,47,23167.89,At Risk - High Value
CUST0872,North,269,36,23034.73,At Risk - High Value
CUST0623,East,176,32,22851.23,At Risk - High Value
CUST0499,West,248,45,22544.44,At Risk - High Value
CUST0896,South,364,47,22497.85,At Risk - High Value
CUST0225,South,155,28,22482.93,At Risk - High Value
CUST0634,East,184,27,22452.72,At Risk - High Value
CUST0681,East,331,43,22390.04,At Risk - High Value
CUST0640,East,264,46,21688.58,At Risk - High Value
CUST0976,South,200,37,21417.81,At Risk - High Value
CUST0805,East,207,27,21152.19,At Risk - High Value
CUST0486,Central,279,30,20530.69,At Risk - High Value
CUST0450,Central,240,39,20502.43,At Risk - High Value
CUST0922,South,201,34,19753.3,At Risk - High Value
CUST0197,Central,257,48,19663.77,At Risk - High Value
CUST0876,North,207,47,19570.32,At Risk - High Value
CUST0913,Central,327,46,19486.25,At Risk - High Value
CUST0138,West,207,33,18117.83,At Risk - High Value
CUST0223,East,174,36,16225.14,At Risk - High Value
CUST0556,West,197,39,16140.13,At Risk - High Value
CUST0131,West,178,40,16052.48,At Risk - High Value
CUST0522,West,152,38,15596.73,At Risk - High Value
CUST0603,Central,175,39,15511.38,At Risk - High Value
CUST0614,North,180,34,15358.82,At Risk - High Value
CUST0076,South,157,40,15285.3,At Risk - High Value
CUST0040,Central,157,46,14955.94,At Risk - High Value
CUST0380,Central,227,47,14879.34,At Risk - High Value
CUST0723,West,223,44,14687.1,At Risk - High Value
CUST0919,South,203,38,14233.43,At Risk - High Value
CUST0731,South,234,45,14084.25,At Risk - High Value
CUST0079,West,286,44,13743.64,At Risk - High Value
CUST0579,Central,285,43,13567.61,At Risk - High Value
CUST0095,South,163,40,13377.15,At Risk - High Value
CUST0641,West,280,42,13219.42,At Risk - High Value
CUST0629,East,169,37,12183.95,At Risk - High Value
CUST0018,East,202,44,11906.01,At Risk - High Value
CUST0883,Central,210,36,11547.76,At Risk - High Value
CUST0509,South,261,47,11196.53,At Risk - High Value
CUST0924,South,283,42,11135.5,At Risk - High Value
CUST0817,West,146,32,10403.84,At Risk - High Value
CUST0885,West,188,44,10382.42,At Risk - High Value
CUST0955,South,198,43,9793.69,At Risk - High Value
CUST0219,West,184,41,8886.84,At Risk - High Value
CUST0742,West,174,39,7988.65,At Risk - High Value
CUST0143,West,185,40,6990.87,At Risk - High Value
CUST0448,West,214,46,5797.68,At Risk - High Value
CUST0520,South,197,49,5663.04,At Risk - High Value
CUST0893,Central,148,47,4757.06,At Risk - High Value
CUST0430,South,336,36,2823.2,Cannot Lose Them
CUST0615,South,297,34,2496.47,Cannot Lose Them
CUST0758,North,315,32,2453.43,Cannot Lose Them
CUST0445,West,337,39,2347.42,Cannot Lose Them
CUST0103,South,358,39,1895.89,Cannot Lose Them
CUST0475,West,337,35,1862.71,Cannot Lose Them
CUST0337,East,343,35,1834.15,Cannot Lose Them
